Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractTypeManufacturer.java",0,0,0,0,0,0,0,0,,,,,1,0,1,0,,0,0,0,0,,0,0,0,0,,18,4,5,4,1,9,,,,3,4,4,1,,,,,,0,0,0,0,,,0,,,,"1.80",0,0,0,0
File,"ByteTypeManufacturerImpl.java",3,3,3,1,27,4,15,7,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,113,24,60,27,31,29,,,,30,41,23,22,,,,,,7,7,7,3,,,4,,,,"0.48",10,10,10,5
File,"DoubleTypeManufacturerImpl.java",4,4,4,1,30,5,18,7,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,124,26,68,29,36,30,,,,35,47,25,26,,,,,,7,7,7,3,,,4,,,,"0.44",12,12,12,5
File,"FloatTypeManufacturerImpl.java",4,4,4,1,30,5,18,7,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,123,24,69,29,37,30,,,,35,47,25,26,,,,,,7,7,7,3,,,4,,,,"0.43",12,12,12,5
File,"IntTypeManufacturerImpl.java",3,3,3,1,28,5,15,7,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,117,26,62,29,31,29,,,,32,43,25,22,,,,,,7,7,7,3,,,4,,,,"0.47",10,10,10,5
File,"ShortTypeManufacturerImpl.java",3,3,3,1,27,4,15,7,,,,,1,0,1,3,,3,3,0,3,,0,0,0,3,,112,23,60,27,31,29,,,,30,41,23,22,,,,,,7,7,7,3,,,4,,,,"0.48",10,10,10,5
Package,"uk",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"uk.co.jemos.podam.typeManufacturers",3,3,3,1,28,5,16,7,,,,,6,0,6,,6,,15,0,15,,0,0,0,15,,607,127,324,145,167,156,,,,165,223,125,119,,,,,,7,7,7,3,,,4,,,,"0.48",54,54,54,25
Public Abstract Generic Class,"uk.co.jemos.podam.typeManufacturers.AbstractTypeManufacturer",0,0,0,0,0,0,0,0,2,1,1,5,,0,1,,,,0,0,0,0,0,0,0,0,,14,2,3,2,1,9,,,,1,2,2,1,,,,,,0,0,0,0,,1,0,,0,0,"3.00",0,0,0,0
TypeVariable,"uk.co.jemos.podam.typeManufacturers.AbstractTypeManufacturer.T",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Class,"uk.co.jemos.podam.typeManufacturers.ByteTypeManufacturerImpl",3,3,3,1,27,4,15,7,1,13,13,0,,0,1,,,,3,0,3,3,0,0,0,3,,98,19,50,17,31,29,,,,20,31,13,22,,,,,,7,7,7,3,,2,4,,0,0,"0.58",10,10,10,5
Public Method,"uk.co.jemos.podam.typeManufacturers.ByteTypeManufacturerImpl.getByte",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,1,7,2,4,6,2,1,0,4,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.86",2,2,2,1
