Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BillCleaner.java",3,3,4,2,17,2,15,0,,,,,1,13,3,13,,13,0,0,13,,0,2,0,11,,282,51,219,54,143,12,,,,97,146,56,105,,,,,,8,8,12,8,,,3,,,,"0.05",47,47,52,28
File,"QueryBuilder.java",1,1,1,1,4,0,4,0,,,,,2,2,10,28,,28,26,2,28,,0,5,0,23,,195,38,146,51,76,11,,,,65,102,51,53,,,,,,2,2,2,1,,,1,,,,"0.08",33,33,33,28
File,"SearchServlet.java",11,11,17,1,78,15,57,5,,,,,1,0,4,4,,4,4,0,4,,0,0,0,4,,347,74,250,53,193,23,,,,152,199,51,167,,,,,,44,44,67,3,,,3,,,,"0.09",47,47,70,6
Package,"gov",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"gov.nysenate.openleg",11,11,17,1,78,15,57,5,,,,,1,0,4,,1,,4,0,4,,0,0,0,4,,347,74,250,53,193,23,,,,152,199,51,167,,,,,,44,44,67,3,,,3,,,,"0.09",47,47,70,6
Public Class,"gov.nysenate.openleg.SearchServlet",11,11,17,1,78,15,57,5,2,15,15,0,,0,4,,,,4,0,4,4,0,0,0,4,,327,69,235,38,193,23,,,,137,184,36,167,,,,,,44,44,67,3,,2,3,,66,41,"0.10",47,47,70,6
Public Constructor,"gov.nysenate.openleg.SearchServlet.SearchServlet",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.SearchServlet.doGet",,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,1,4,2,1,10,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.50",1,1,1,1
Public Method,"gov.nysenate.openleg.SearchServlet.doPost",,,,,,,,,,,,,,,,,,,,,,,,,,,18,292,61,218,29,186,13,29,999999999,10,130,173,28,161,44,44,67,3,10,,,,,3,,3,3,,,"0.06",44,44,67,3
Public Method,"gov.nysenate.openleg.SearchServlet.init",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"gov.nysenate.openleg.api",1,1,1,1,4,0,4,0,,,,,2,2,10,,1,,26,2,28,,0,5,0,23,,195,38,146,51,76,11,,,,65,102,51,53,,,,,,2,2,2,1,,,1,,,,"0.08",33,33,33,28
Public Class,"gov.nysenate.openleg.api.QueryBuilder",1,1,1,1,5,0,4,0,1,5,5,0,,2,10,,,,24,2,26,26,0,5,0,21,,190,36,143,48,76,11,,,,62,99,48,53,,,,,,2,2,2,1,,1,1,,80,15,"0.08",31,31,31,26
Public Constructor,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilder",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Class,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilderException",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,2,0,2,2,0,0,0,2,,10,1,9,4,2,0,,,,2,5,3,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",2,2,2,2
Public Constructor,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilderException.QueryBuilderException",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"gov.nysenate.openleg.api.QueryBuilder.QueryBuilderException.QueryBuilderException",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.api.QueryBuilder.active",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.api.QueryBuilder.and",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.api.QueryBuilder.andNot",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nysenate.openleg.api.QueryBuilder.append",,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,6,1,3,0,2,2,0,2,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"gov.nysenate.openleg.api.QueryBuilder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"gov.nysenate.openleg.api.QueryBuilder.build",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"gov.nysenate.openleg.api.QueryBuilder.condition",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,1,3,0,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"gov.nysenate.openleg.api.QueryBuilder.current",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"gov.nysenate.openleg.api.QueryBuilder.inSession",,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,0,8,1,6,0,9,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
