Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MVAsyncPlayerChatListener.java",4,4,4,3,24,0,21,3,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,76,7,54,20,28,15,,,,31,41,18,26,,,,,,7,7,7,5,,,3,,,,"0.28",8,8,8,6
File,"MVChatListener.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,18,2,8,7,0,8,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,"1.00",0,0,0,0
File,"MVPlayerChatListener.java",4,4,4,3,24,0,21,3,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,77,7,54,20,28,16,,,,31,41,18,26,,,,,,7,7,7,5,,,3,,,,"0.30",8,8,8,6
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox.MultiverseCore",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.onarandombox.MultiverseCore.listeners",4,4,4,3,24,0,21,3,,,,,3,0,0,,3,,5,6,5,,1,0,0,4,,171,16,116,47,56,39,,,,67,88,42,52,,,,,,7,7,7,5,,,3,,,,"0.34",16,16,16,12
Public Class,"com.onarandombox.MultiverseCore.listeners.MVAsyncPlayerChatListener",4,4,4,3,24,0,21,3,2,10,10,0,,0,0,,,,2,3,2,2,0,0,0,2,,65,3,47,13,28,15,,,,24,34,11,26,,,,,,7,7,7,5,,1,3,,0,0,"0.32",8,8,8,6
Public Constructor,"com.onarandombox.MultiverseCore.listeners.MVAsyncPlayerChatListener.MVAsyncPlayerChatListener",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,6,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.onarandombox.MultiverseCore.listeners.MVAsyncPlayerChatListener.playerChat",,,,,,,,,,,,,,,,,,,,,,,,,,,5,42,0,36,8,24,6,21,14,1,17,25,6,22,7,7,7,5,5,,,,,5,,3,5,,,"0.17",7,7,7,5
Public Generic Interface,"com.onarandombox.MultiverseCore.listeners.MVChatListener",0,0,0,0,0,0,0,0,1,1,1,2,,0,0,,,,1,0,1,1,1,0,0,0,,8,0,4,3,0,4,,,,1,2,2,0,,,,,,0,0,0,0,,2,0,,0,0,"1.00",0,0,0,0
TypeVariable,"com.onarandombox.MultiverseCore.listeners.MVChatListener.E",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Abstract Method,"com.onarandombox.MultiverseCore.listeners.MVChatListener.playerChat",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,2,2,0,4,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"2.00",0,0,0,0
Public Class,"com.onarandombox.MultiverseCore.listeners.MVPlayerChatListener",4,4,4,3,24,0,21,3,2,10,10,0,,0,0,,,,2,3,2,2,0,0,0,2,,66,3,47,13,28,16,,,,24,34,11,26,,,,,,7,7,7,5,,1,3,,0,0,"0.34",8,8,8,6
Public Constructor,"com.onarandombox.MultiverseCore.listeners.MVPlayerChatListener.MVPlayerChatListener",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,1,4,0,6,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.onarandombox.MultiverseCore.listeners.MVPlayerChatListener.playerChat",,,,,,,,,,,,,,,,,,,,,,,,,,,5,43,0,36,8,24,7,21,14,1,17,25,6,22,7,7,7,5,5,,,,,5,,3,5,,,"0.19",7,7,7,5
