Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractMetricPlotFetcher.java",1,1,2,1,8,0,7,0,,,,,2,0,0,14,,15,15,5,15,,0,1,4,10,,175,37,121,45,60,17,,,,54,90,51,50,,,,,,7,7,8,5,,,3,,,,"0.14",27,27,28,20
File,"CustomMetricPlotFetcher.java",2,2,2,1,18,2,14,2,,,,,1,0,0,4,,4,4,0,4,,0,1,3,0,,91,18,64,18,42,9,,,,32,44,19,31,,,,,,4,4,4,1,,,1,,,,"0.14",9,9,10,4
File,"DatabaseServiceImpl.java",3,3,3,1,20,2,16,0,,,,,12,0,0,75,,75,75,34,75,,0,16,0,59,,1644,306,1278,375,853,64,,,,585,878,390,651,,,,,,19,15,19,9,,,7,,,,"0.05",249,235,260,121
File,"FetchUtil.java",2,2,2,1,24,3,18,3,,,,,1,0,0,5,,5,5,1,5,,0,1,0,4,,152,24,109,40,74,19,,,,49,64,39,35,,,,,,6,6,6,1,,,2,,,,"0.17",12,12,12,5
File,"MetricNameDto.java",1,1,1,1,4,0,3,0,,,,,2,0,0,14,,12,14,14,14,,0,0,0,14,,102,19,74,35,29,16,,,,27,45,20,26,,,,,,7,7,8,5,,,1,,,,"0.22",22,22,23,16
File,"PlotsDbMetricDataFetcher.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,21,7,14,11,1,0,,,,9,11,10,1,,,,,,1,1,1,1,,,0,,,,"0.00",1,1,1,1
File,"SessionScopeMonitoringMetricPlotFetcher.java",3,3,4,2,20,4,16,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,65,15,43,20,21,7,,,,23,34,21,18,,,,,,6,6,7,4,,,2,,,,"0.16",7,7,8,5
File,"SessionScopeTestGroupMetricPlotFetcher.java",3,3,4,2,20,4,16,0,,,,,1,0,0,2,,2,2,1,2,,0,0,1,1,,66,15,44,21,21,7,,,,24,35,22,18,,,,,,6,6,7,4,,,2,,,,"0.16",7,7,8,5
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.griddynamics.jagger.dbapi",3,3,3,1,20,2,16,0,,,,,12,0,0,,1,,75,34,75,,0,16,0,59,,1644,306,1278,375,853,64,,,,585,878,390,651,,,,,,19,15,19,9,,,7,,,,"0.05",249,235,260,121
Public Class,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl",3,3,3,1,23,3,19,0,2,93,93,0,,0,0,,,,62,31,62,62,0,16,0,46,,1605,300,1245,342,853,64,,,,552,845,357,651,,,,,,19,15,19,9,,1,7,,95,93,"0.05",234,220,245,108
Public Class,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.DetailsNodeFetcherThread",1,1,1,1,3,0,3,0,2,4,4,0,,0,0,,,,2,2,2,2,0,0,0,2,,12,1,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,1,0,,0,0,"0.00",2,2,2,2
Public Constructor,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.DetailsNodeFetcherThread.DetailsNodeFetcherThread",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.DetailsNodeFetcherThread.call",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.SummaryNodeFetcherThread",1,1,1,1,6,0,6,0,2,4,4,0,,0,0,,,,2,1,2,2,0,0,0,2,,16,1,15,6,7,0,,,,7,11,6,7,,,,,,2,2,2,1,,1,1,,0,0,"0.00",3,3,3,2
Public Constructor,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.SummaryNodeFetcherThread.SummaryNodeFetcherThread",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.SummaryNodeFetcherThread.call",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,3,6,0,5,2,0,5,7,3,6,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Generic Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.buildTreeAccordingToRules",,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,2,10,5,7,4,4,2,0,6,8,5,7,2,2,2,1,0,,,,,0,,1,0,,,"0.40",2,2,2,1
TypeVariable,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.buildTreeAccordingToRules.M",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Private Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.checkIfTagsStorageAvailable",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,2,11,1,8,0,4,2,0,4,6,1,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.checkIfUserCommentStorageAvailable",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,2,11,1,8,1,4,2,0,4,6,1,5,2,2,2,1,1,,,,,0,,1,0,,,"0.09",2,2,2,1
Private Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.fetchTaskDatas",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,3,4,0,4,1,0,4,5,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.griddynamics.jagger.dbapi.DatabaseServiceImpl.getAgentNamesForMonitoringParameters",,,,,,,,,,,,,,,,,,,,,,,,,,,6,28,3,22,3,13,3,14,8,1,5,16,6,12,8,8,9,1,0,,,,,0,,7,0,,,"0.14",8,8,9,1
