Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConfigurationController.java",1,1,1,1,6,0,6,0,,,,,1,0,0,22,,22,22,3,22,,0,0,0,22,,217,31,186,124,41,0,,,,65,91,58,38,,,,,,2,2,2,1,,,1,,,,"0.00",25,25,25,22
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.findwise",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.findwise.hydra",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.findwise.hydra.admin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.findwise.hydra.admin.rest",1,1,1,1,6,0,6,0,,,,,1,0,0,,1,,22,3,22,,0,0,0,22,,217,31,186,124,41,0,,,,65,91,58,38,,,,,,2,2,2,1,,,1,,,,"0.00",25,25,25,22
Public Class,"com.findwise.hydra.admin.rest.ConfigurationController",1,1,1,1,6,0,6,0,1,26,26,0,,0,0,,,,22,3,22,22,0,0,0,22,,183,24,159,97,41,0,,,,38,64,31,38,,,,,,2,2,2,1,,1,1,,69,69,"0.00",25,25,25,22
Public Method,"com.findwise.hydra.admin.rest.ConfigurationController.addLibrary",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,7,4,2,0,5,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.findwise.hydra.admin.rest.ConfigurationController.addStage",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,7,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.findwise.hydra.admin.rest.ConfigurationController.addStageToGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,0,10,8,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
