Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"WeeklyAdherence.java",2,2,2,1,5,0,5,0,,,,,1,0,0,5,,5,5,2,5,,0,0,0,5,,48,9,39,17,14,0,,,,18,32,19,14,,,,,,3,3,3,3,,,2,,,,"0.00",10,10,10,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.motechproject",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.motechproject.whp",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.motechproject.whp.adherence",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.motechproject.whp.adherence.domain",2,2,2,1,5,0,5,0,,,,,1,0,0,,1,,5,2,5,,0,0,0,5,,48,9,39,17,14,0,,,,18,32,19,14,,,,,,3,3,3,3,,,2,,,,"0.00",10,10,10,9
Public Class,"org.motechproject.whp.adherence.domain.WeeklyAdherence",2,2,2,1,5,0,5,0,1,8,8,0,,0,0,,,,5,2,5,5,0,0,0,5,,37,6,31,9,14,0,,,,10,24,11,14,,,,,,3,3,3,3,,1,2,,60,60,"0.00",10,10,10,9
Public Constructor,"org.motechproject.whp.adherence.domain.WeeklyAdherence.WeeklyAdherence",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"org.motechproject.whp.adherence.domain.WeeklyAdherence.WeeklyAdherence",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,3,2,0,1,4,2,2,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.motechproject.whp.adherence.domain.WeeklyAdherence.addAdherenceLog",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.motechproject.whp.adherence.domain.WeeklyAdherence.firstDoseTakenOn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,1,4,0,3,3,0,2,6,2,4,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
Public Method,"org.motechproject.whp.adherence.domain.WeeklyAdherence.isAnyDoseTaken",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,1,4,0,2,3,0,2,6,2,4,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
