Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Main.java",1,1,2,1,8,0,7,0,,,,,1,1,0,8,,8,7,6,8,,1,5,0,2,,119,19,83,37,44,17,,,,53,69,37,42,,,,,,7,7,9,1,,,2,,,,"0.20",15,15,17,8
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dynjs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.dynjs.cli",1,1,2,1,8,0,7,0,,,,,1,1,0,,1,,7,6,8,,1,5,0,2,,119,19,83,37,44,17,,,,53,69,37,42,,,,,,7,7,9,1,,,2,,,,"0.20",15,15,17,8
Public Class,"org.dynjs.cli.Main",1,1,2,1,8,0,7,0,1,15,15,0,,1,0,,,,7,6,8,8,1,5,0,2,,104,16,71,25,44,17,,,,41,57,25,42,,,,,,7,7,9,1,,1,2,,60,43,"0.24",15,15,17,8
Public Constructor,"org.dynjs.cli.Main.Main",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,1,7,0,8,1,0,7,8,1,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.dynjs.cli.Main.executeFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,1,4,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Static Method,"org.dynjs.cli.Main.main",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.dynjs.cli.Main.run",,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,2,20,1,16,0,14,7,1,9,16,1,15,7,7,9,1,5,,,,,0,,2,0,,,"0.00",7,7,9,1
Private Method,"org.dynjs.cli.Main.showUsage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,6,2,4,0,4,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.dynjs.cli.Main.showVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.dynjs.cli.Main.startRepl",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,7,5,5,0,1,1,0,5,6,5,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.dynjs.cli.Main.startReplDebugMode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,2,8,6,6,1,2,1,0,6,7,6,6,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
