Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Component.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,8,8,0,8,,0,0,0,8,,43,12,24,23,0,8,,,,17,18,18,0,,,,,,0,0,0,0,,,0,,,,"0.33",0,0,0,0
File,"ComponentProperties.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,11,11,0,11,,0,0,0,11,,28,9,18,17,0,2,,,,16,17,17,0,,,,,,0,0,0,0,,,0,,,,"0.11",0,0,0,0
File,"MyUtilities.java",2,2,2,1,9,0,8,0,,,,,1,48,2,48,,48,0,0,48,,0,3,0,45,,612,83,460,171,243,79,,,,216,331,159,223,,,,,,6,6,7,3,,,3,,,,"0.17",103,103,118,50
File,"PeriodicBatchSend.java",1,1,1,1,3,0,3,0,,,,,2,0,0,4,,4,4,3,4,,0,0,0,4,,36,11,25,13,6,0,,,,13,19,13,6,,,,,,1,1,1,1,,,0,,,,"0.00",4,4,4,4
File,"StormComponent.java",0,0,0,0,0,0,0,0,,,,,1,0,2,0,,7,7,0,7,,0,0,0,7,,24,7,14,13,2,3,,,,12,13,13,0,,,,,,0,0,0,0,,,0,,,,"0.21",0,0,0,0
File,"StormDataSource.java",3,3,3,1,14,1,13,0,,,,,1,0,2,25,,25,25,28,25,,0,7,1,17,,495,71,391,135,219,41,,,,193,271,115,183,,,,,,7,7,9,5,,,4,,,,"0.10",76,76,83,29
File,"StormDstJoin.java",3,3,3,1,20,1,17,1,,,,,1,0,2,23,,23,23,32,23,,0,6,2,15,,594,83,471,159,275,47,,,,235,320,129,222,,,,,,11,11,11,6,,,5,,,,"0.10",83,83,89,32
File,"StormOperator.java",3,3,3,1,18,1,15,0,,,,,1,0,2,20,,20,20,23,20,,0,5,1,14,,465,65,371,119,215,34,,,,181,254,103,174,,,,,,11,11,11,6,,,4,,,,"0.09",71,71,75,29
File,"StormRandomDataSource.java",2,2,3,1,13,0,12,0,,,,,1,0,2,21,,21,21,28,21,,0,3,1,17,,409,56,317,120,171,42,,,,151,213,98,133,,,,,,7,7,8,4,,,4,,,,"0.13",60,60,66,24
File,"StormSrcHarmonizer.java",1,1,1,1,6,0,5,0,,,,,1,0,2,12,,12,12,7,12,,0,0,0,12,,124,24,95,58,31,5,,,,49,63,44,25,,,,,,2,2,2,1,,,1,,,,"0.05",13,13,13,12
File,"StormSrcJoin.java",1,1,1,1,17,1,16,0,,,,,1,0,2,4,,4,4,6,4,,0,0,0,4,,102,12,88,41,47,2,,,,35,41,27,16,,,,,,2,2,2,1,,,1,,,,"0.02",5,5,5,4
File,"StormSrcStorage.java",3,3,3,1,17,1,15,0,,,,,1,0,2,16,,16,16,25,16,,0,2,0,14,,362,52,297,119,159,21,,,,150,201,96,125,,,,,,10,10,14,3,,,4,,,,"0.07",50,50,58,18
File,"StormThetaJoin.java",3,3,3,1,22,3,17,1,,,,,1,0,2,22,,22,22,30,22,,0,5,2,15,,610,120,449,167,266,49,,,,237,317,138,216,,,,,,15,15,15,5,,,4,,,,"0.11",78,78,86,28
File,"TopologyKiller.java",1,1,1,1,6,0,5,0,,,,,1,0,1,13,,13,13,5,13,,0,0,0,13,,132,20,96,50,32,16,,,,50,67,39,29,,,,,,4,4,4,1,,,2,,,,"0.17",16,16,16,13
Package,"plan_runner",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"plan_runner.components",0,0,0,0,0,0,0,0,,,,,2,0,0,,2,,19,0,19,,0,0,0,19,,71,21,42,40,0,10,,,,33,35,35,0,,,,,,0,0,0,0,,,0,,,,"0.24",0,0,0,0
Public Interface,"plan_runner.components.Component",0,0,0,0,0,0,0,0,3,5,5,0,,0,0,,,,8,0,8,19,0,0,0,8,,31,9,15,14,0,8,,,,8,9,9,0,,,,,,0,0,0,0,,3,0,,0,0,"0.53",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.addOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"1.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.makeBolts",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setBatchOutputMillis",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setChild",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setFullHashList",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setHashExpressions",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setHashIndexes",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.Component.setPrintOut",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Interface,"plan_runner.components.ComponentProperties",0,0,0,0,0,0,0,0,1,4,4,1,,0,0,,,,11,0,11,11,0,0,0,11,,20,6,13,12,0,2,,,,11,12,12,0,,,,,,0,0,0,0,,2,0,,0,0,"0.15",0,0,0,0
Public Abstract Method,"plan_runner.components.ComponentProperties.getAncestorDataSources",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.ComponentProperties.getBatchOutputMillis",,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Abstract Method,"plan_runner.components.ComponentProperties.getChainOperator",,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"1.00",0,0,0,0
Public Abstract Method,"plan_runner.components.ComponentProperties.getChild",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
