Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GenericKnimeNodeModel.java",3,3,3,1,27,3,19,4,,,,,1,1,3,20,,20,19,11,20,,0,7,13,0,,696,107,470,156,222,119,,,,241,319,163,201,,,,,,13,13,13,6,,,4,,,,"0.25",68,68,68,28
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ballproject",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ballproject.knime",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ballproject.knime.base",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ballproject.knime.base.node",3,3,3,1,27,3,19,4,,,,,1,1,3,,1,,19,11,20,,0,7,13,0,,696,107,470,156,222,119,,,,241,319,163,201,,,,,,13,13,13,6,,,4,,,,"0.25",68,68,68,28
Public Abstract Class,"org.ballproject.knime.base.node.GenericKnimeNodeModel",3,3,3,1,27,3,19,4,1,47,47,0,,1,3,,,,19,11,20,20,0,7,13,0,,614,101,412,100,220,101,,,,185,263,107,201,,,,,,13,13,13,6,,2,4,,86,79,"0.25",68,68,68,28
Protected Constructor,"org.ballproject.knime.base.node.GenericKnimeNodeModel.GenericKnimeNodeModel",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,6,1,3,3,6,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.50",1,1,1,1
Protected Method,"org.ballproject.knime.base.node.GenericKnimeNodeModel.configure",,,,,,,,,,,,,,,,,,,,,,,,,,,5,40,6,32,7,17,2,7,19,1,14,21,7,15,7,7,7,4,2,,,,,2,,3,2,,,"0.06",7,7,7,4
Private Static Method,"org.ballproject.knime.base.node.GenericKnimeNodeModel.createOPOs",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,0,13,2,6,0,3,3,0,6,9,3,6,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
