Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbortOperation.java",1,1,1,1,10,0,7,2,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,80,9,37,22,11,35,,,,18,24,18,8,,,,,,2,2,2,1,,,1,,,,"0.95",4,4,4,3
File,"BuildStepWithTimeout.java",1,1,1,1,7,0,7,0,,,,,3,0,0,16,,16,16,3,16,,0,1,0,15,,169,28,141,70,54,0,,,,72,100,62,47,,,,,,3,3,3,1,,,2,,,,"0.00",24,24,25,16
File,"BuildStepWithTimeoutTest.java",1,1,1,1,11,2,8,0,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,59,16,42,31,16,1,,,,30,34,27,16,,,,,,1,1,1,1,,,0,,,,"0.02",3,3,3,3
File,"FailOperation.java",1,1,1,1,9,0,7,1,,,,,2,0,0,3,,3,3,0,3,,0,0,0,3,,76,9,37,22,11,31,,,,18,24,18,8,,,,,,2,2,2,1,,,1,,,,"0.84",4,4,4,3
Package,"hudson",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"hudson.plugins",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"hudson.plugins.build_timeout",1,1,1,1,8,0,7,0,,,,,4,0,0,,2,,19,4,19,,0,1,0,18,,228,44,183,101,70,1,,,,102,134,89,63,,,,,,3,3,3,1,,,2,,,,"0.01",27,27,28,19
Public Class,"hudson.plugins.build_timeout.BuildStepWithTimeout",1,1,1,1,9,0,8,0,2,19,19,0,,0,0,,,,8,3,8,8,0,1,0,7,,136,24,112,41,54,0,,,,43,71,33,47,,,,,,3,3,3,1,,2,2,,62,50,"0.00",12,12,13,8
Public Constructor,"hudson.plugins.build_timeout.BuildStepWithTimeout.BuildStepWithTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,1,11,2,6,0,6,2,0,4,6,1,5,2,2,3,1,1,,,,,0,,1,0,,,"0.00",2,2,3,1
Public Static Class,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl",1,1,1,1,5,0,5,0,1,18,18,0,,0,0,,,,7,0,7,7,0,0,0,7,,49,8,41,20,17,0,,,,15,26,15,17,,,,,,3,3,3,1,,2,2,,0,0,"0.00",9,9,9,7
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.getBuildStepWithTimeoutRunners",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,3,0,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.getDisplayName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.getOperations",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.getOperations",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.getStrategies",,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,2,10,3,6,0,6,3,0,4,8,4,6,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.isApplicable",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.DescriptorImpl.newInstance",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,6,4,0,5,1,0,4,5,4,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.getBuildStep",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.getOperationList",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.getRequiredMonitorService",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.getStrategy",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.getTimeout",,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,9,1,6,0,5,2,0,4,6,1,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.perform",,,,,,,,,,,,,,,,,,,,,,,,,,,7,34,5,29,7,20,0,6,3,0,12,19,7,15,3,3,3,1,3,,,,,0,,2,0,,,"0.00",3,3,3,1
Anonymous Class,"hudson.plugins.build_timeout.BuildStepWithTimeout.perform.(Anon_1)",3,3,3,1,12,2,10,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,13,2,11,1,8,0,,,,3,7,2,5,,,,,,3,3,3,1,,2,1,,0,0,"0.00",3,3,3,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeout.perform.(Anon_1).doRun",,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,2,10,0,7,0,5,4,1,3,7,2,5,3,3,3,1,0,,,,,0,,1,0,,,"0.00",3,3,3,1
Public Class,"hudson.plugins.build_timeout.BuildStepWithTimeoutTest",1,1,1,1,11,2,8,0,1,16,16,0,,0,0,,,,3,1,3,3,0,0,0,3,,41,12,28,17,16,1,,,,16,20,13,16,,,,,,1,1,1,1,,1,0,,33,33,"0.04",3,3,3,3
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeoutTest.before",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,4,2,1,1,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeoutTest.testTimeoutWasNotTriggered",,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,4,10,6,7,0,11,1,0,7,8,5,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"hudson.plugins.build_timeout.BuildStepWithTimeoutTest.testTimeoutWasTriggered",,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,4,10,6,7,0,11,1,0,7,8,5,7,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"hudson.plugins.build_timeout.operations",1,1,1,1,9,0,7,2,,,,,4,0,0,,2,,6,0,6,,0,0,0,6,,156,18,74,44,22,66,,,,36,48,36,16,,,,,,2,2,2,1,,,1,,,,"0.89",8,8,8,6
Public Class,"hudson.plugins.build_timeout.operations.AbortOperation",1,1,1,1,13,1,8,4,1,6,6,0,,0,0,,,,2,0,2,2,0,0,0,2,,41,4,26,11,11,12,,,,7,13,7,8,,,,,,2,2,2,1,,2,1,,0,0,"0.46",3,3,3,2
Public Constructor,"hudson.plugins.build_timeout.operations.AbortOperation.AbortOperation",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,2,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
