Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BasicArcGaugeSkin.java",1,1,1,1,16,1,10,4,,,,,9,1,13,35,,35,27,24,28,,0,12,9,7,,725,107,445,187,301,180,,,,314,373,185,259,,,,,,6,6,6,3,,,2,,,,"0.40",56,56,58,39
File,"LinearGaugeSkin.java",1,1,1,1,9,0,6,2,,,,,8,1,3,32,,32,29,11,30,,1,2,14,13,,395,54,239,101,137,103,,,,142,196,100,127,,,,,,5,5,6,4,,,3,,,,"0.43",50,50,52,37
File,"SimpleMetroArcGaugeSkin.java",1,1,1,1,18,1,11,4,,,,,6,0,5,24,,24,19,17,19,,0,10,8,1,,538,83,324,143,216,134,,,,221,268,140,185,,,,,,4,4,4,3,,,2,,,,"0.41",43,43,46,30
Package,"jfxtras",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal.scene",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal.scene.control",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal.scene.control.gauge",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal.scene.control.gauge.linear",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"jfxtras.labs.internal.scene.control.gauge.linear.skin",1,1,1,1,14,1,9,3,,,,,23,2,21,,3,,75,52,77,,1,24,31,21,,1658,244,1008,431,654,417,,,,677,837,425,571,,,,,,6,6,6,4,,,3,,,,"0.41",149,149,156,106
Public Class,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin",1,1,1,1,7,0,4,3,1,18,18,0,,1,11,,,,10,11,11,28,0,3,1,7,,677,103,401,144,300,180,,,,271,330,142,259,,,,,,3,3,4,1,,3,2,,85,76,"0.45",13,13,14,11
Private Class,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BackPlatePane",3,3,3,1,47,5,33,10,1,13,13,0,,0,0,,,,2,3,2,2,0,1,1,0,,101,12,71,19,59,20,,,,54,61,19,50,,,,,,6,6,6,1,,2,2,,16,16,"0.28",9,9,9,4
Private Constructor,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BackPlatePane.BackPlatePane",,,,,,,,,,,,,,,,,,,,,,,,,,,8,32,4,21,1,19,7,20,1,0,17,18,1,17,1,1,1,1,0,,,,,0,,0,0,,,"0.33",3,3,3,3
Lambda Method,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BackPlatePane.BackPlatePane.(lambda_expr_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Lambda Method,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BackPlatePane.BackPlatePane.(lambda_expr_2)",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,2,1,0,1,1,0,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BackPlatePane.layoutChildren",,,,,,,,,,,,,,,,,,,,,,,,,,,12,62,6,45,14,37,13,26,7,1,34,39,14,30,6,6,6,1,2,,,,,0,,2,0,,,"0.29",6,6,6,1
Public Constructor,"jfxtras.labs.internal.scene.control.gauge.linear.skin.BasicArcGaugeSkin.BasicArcGaugeSkin",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,4,1,2,3,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.75",1,1,1,1
