Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"YouTrackBugReporter.java",3,3,4,1,33,7,24,2,,,,,3,0,7,8,,8,8,8,8,,0,2,0,6,,338,75,225,106,148,39,,,,160,191,100,119,,,,,,12,12,13,3,,,2,,,,"0.17",31,31,35,10
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.sylvanaar.idea.errorreporting",3,3,4,1,33,7,24,2,,,,,3,0,7,,1,,8,8,8,,0,2,0,6,,338,75,225,106,148,39,,,,160,191,100,119,,,,,,12,12,13,3,,,2,,,,"0.17",31,31,35,10
Public Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter",4,4,5,1,40,9,27,2,1,37,37,0,,0,7,,,,6,8,6,6,0,2,0,4,,277,70,184,65,148,24,,,,119,150,59,119,,,,,,12,12,13,3,,2,2,,72,54,"0.13",26,26,30,8
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.getReportActionText",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.runCommand",,,,,,,,,,,,,,,,,,,,,,,,,,,7,31,7,23,8,18,1,12,3,0,16,19,8,16,3,3,3,1,1,,,,,0,,2,0,,,"0.04",3,3,3,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit",,,,,,,,,,,,,,,,,,,,,,,,,,,11,87,24,51,8,44,12,15,72,2,40,48,8,44,8,8,11,1,1,,,,,0,,2,0,,,"0.24",8,8,11,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit",,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,5,2,2,0,4,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit",,,,,,,,,,,,,,,,,,,,,,,,,,,14,105,25,77,25,66,3,36,256,2,44,60,24,53,12,12,13,3,3,,,,,2,,0,2,,,"0.04",12,12,13,3
Anonymous Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit.(Anon_1)",4,4,4,1,24,0,24,0,1,9,9,0,,0,0,,,,1,0,1,1,0,0,0,1,,25,0,25,6,22,0,,,,11,14,6,12,,,,,,4,4,4,1,,2,0,,0,0,"0.00",4,4,4,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,0,24,6,21,0,8,2,0,11,14,6,12,4,4,4,1,0,,,,,0,,0,0,,,"0.00",4,4,4,1
Anonymous Class,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit.(Anon_1).run.(Anon_2)",1,1,1,1,5,0,5,0,1,6,6,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,0,6,1,5,0,,,,2,3,1,2,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submit.(Anon_1).run.(Anon_2).hyperlinkUpdate",,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,0,4,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.sylvanaar.idea.errorreporting.YouTrackBugReporter.submitAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,1,6,3,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
