Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractXTestJavaValidator.java",1,1,1,1,9,0,9,3,,,,,1,0,0,1,,1,1,0,1,,0,0,1,0,,21,5,16,9,6,3,,,,11,13,8,6,,,,,,1,1,1,1,,,0,,,,"0.19",1,1,1,1
File,"AbstractXTestProposalProvider.java",1,1,1,1,3,0,2,0,,,,,1,0,0,23,,23,23,0,23,,0,0,0,23,,90,4,69,31,14,17,,,,20,44,30,14,,,,,,1,1,1,1,,,0,,,,"0.25",23,23,23,23
File,"AbstractXTestSemanticSequencer.java",3,2,17,2,28,0,23,4,,,,,1,0,0,48,,48,48,7,48,,0,0,46,2,,1525,102,1201,128,976,222,,,,263,373,120,257,,,,,,92,56,776,91,,,3,,,,"0.18",145,109,829,138
File,"Body.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,2,2,0,2,,2,0,0,0,,64,6,8,6,0,51,,,,5,6,6,0,,,,,,0,0,0,0,,,0,,,,"6.38",0,0,0,0
File,"BodyImpl.java",2,1,2,1,15,0,10,5,,,,,1,0,0,9,,9,9,2,9,,0,0,2,7,,210,20,110,32,44,81,,,,42,59,25,34,,,,,,3,2,5,1,,,1,,,,"0.74",21,16,23,9
File,"InternalXTestLexer.java",3,2,5,1,31,5,22,3,,,,,2,0,92,85,,85,85,1,85,,0,0,0,85,,3388,565,2391,660,1615,434,,,,926,1206,413,848,,,,,,78,50,82,9,,,5,,,,"0.18",293,209,441,113
File,"InternalXTestParser.java",9,9,10,5,67,16,44,6,,,,,15,0,779,260,,260,260,15,260,,0,0,2,258,,20162,4663,13408,2952,9226,2126,,,,6260,8610,2068,7463,,,,,,122,96,122,62,,,9,,,,"0.16",2504,2354,2773,1309
File,"XTestAdapterFactory.java",1,1,1,1,10,0,5,5,,,,,2,0,1,21,,21,21,1,21,,0,0,0,21,,279,22,122,26,45,136,,,,33,58,32,27,,,,,,3,3,3,3,,,1,,,,"1.11",24,24,24,23
File,"XTestFactory.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,7,7,1,7,,7,0,0,0,,92,11,13,11,1,69,,,,10,11,11,1,,,,,,0,0,0,0,,,0,,,,"5.31",0,0,0,0
File,"XTestFactoryImpl.java",1,1,1,1,12,0,6,5,,,,,1,2,0,11,,11,9,0,11,,0,0,0,11,,170,17,84,28,31,71,,,,33,48,26,29,,,,,,7,3,7,3,,,2,,,,"0.85",19,14,19,13
File,"XTestGrammarAccess.java",1,1,1,1,2,0,2,0,,,,,11,0,0,287,,287,287,143,287,,0,0,0,287,,1615,309,776,452,419,530,,,,439,737,449,419,,,,,,2,2,2,1,,,0,,,,"0.68",297,297,297,287
File,"XTestJavaValidator.java",2,2,3,1,15,0,10,4,,,,,1,0,1,12,,12,12,7,12,,0,4,3,5,,265,18,180,90,77,67,,,,86,125,75,67,,,,,,5,5,6,1,,,3,,,,"0.37",34,34,37,12
File,"XTestPackage.java",0,0,0,0,0,0,0,0,,,,,2,0,0,0,,21,21,51,21,,21,0,0,0,,726,78,84,80,51,566,,,,78,80,80,21,,,,,,0,0,0,0,,,0,,,,"6.74",0,0,0,0
File,"XTestPackageImpl.java",1,1,1,1,13,1,6,6,,,,,1,1,1,25,,25,24,8,25,,0,1,0,24,,470,67,187,54,93,217,,,,109,138,54,87,,,,,,3,3,3,1,,,1,,,,"1.16",29,29,29,25
File,"XTestParser.java",1,1,1,1,58,0,58,0,,,,,2,0,1,6,,6,6,2,6,,0,0,4,2,,380,13,364,27,328,3,,,,337,346,23,324,,,,,,2,2,2,1,,,1,,,,"0.01",8,8,8,6
File,"XTestProposalProvider.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,2,2,0,2,,0,0,1,1,,34,4,23,16,4,7,,,,11,14,12,2,,,,,,1,1,2,1,,,0,,,,"0.30",2,2,3,2
