Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"DataFile.java",1,1,1,1,2,0,2,0,,,,,1,0,0,36,,36,36,17,36,,0,0,0,36,,204,54,146,78,35,4,,,,60,97,62,35,,,,,,1,1,1,1,,,0,,,,"0.03",36,36,36,36
File,"DataFileFormController.java",2,2,2,1,36,8,24,3,,,,,1,0,0,2,,2,2,1,2,,0,0,2,0,,127,29,81,47,42,17,,,,62,67,44,34,,,,,,3,3,4,1,,,2,,,,"0.21",4,4,5,2
File,"DataFileLoader.java",9,7,9,1,59,11,43,4,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,396,76,285,73,208,35,,,,178,225,80,177,,,,,,31,18,32,1,,,7,,,,"0.12",55,42,56,6
File,"OzTrackUtil.java",1,1,1,1,14,0,14,0,,,,,1,1,1,1,,1,0,0,1,,0,0,0,1,,38,5,28,18,13,5,,,,24,26,18,13,,,,,,1,1,1,1,,,0,,,,"0.18",1,1,1,1
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.oztrack.controller",2,2,2,1,36,8,24,3,,,,,1,0,0,,1,,2,1,2,,0,0,2,0,,127,29,81,47,42,17,,,,62,67,44,34,,,,,,3,3,4,1,,,2,,,,"0.21",4,4,5,2
Public Class,"org.oztrack.controller.DataFileFormController",2,2,2,1,36,8,24,3,1,20,20,0,,0,0,,,,2,1,2,2,0,0,2,0,,91,22,52,18,42,17,,,,33,38,15,34,,,,,,3,3,4,1,,2,2,,50,50,"0.33",4,4,5,2
Protected Method,"org.oztrack.controller.DataFileFormController.formBackingObject",,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,6,3,3,0,3,1,0,3,4,2,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"org.oztrack.controller.DataFileFormController.onSubmit",,,,,,,,,,,,,,,,,,,,,,,,,,,7,65,15,43,13,38,7,40,3,0,29,32,11,30,3,3,4,1,2,,,,,0,,2,0,,,"0.16",3,3,4,1
