Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JestHttpClient.java",2,2,2,1,10,1,8,0,,,,,2,0,1,18,,18,18,3,18,,0,2,2,14,,227,43,176,64,90,8,,,,86,127,65,73,,,,,,7,7,9,1,,,3,,,,"0.05",38,38,42,18
Package,"io",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.searchbox",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.searchbox.client",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"io.searchbox.client.http",2,2,2,1,10,1,8,0,,,,,2,0,1,,1,,18,3,18,,0,2,2,14,,227,43,176,64,90,8,,,,86,127,65,73,,,,,,7,7,9,1,,,3,,,,"0.05",38,38,42,18
Public Class,"io.searchbox.client.http.JestHttpClient",2,2,2,1,11,1,9,0,2,32,32,0,,0,1,,,,15,3,15,15,0,2,2,11,,191,36,147,35,90,8,,,,57,98,36,73,,,,,,7,7,9,1,,2,3,,75,71,"0.05",34,34,38,15
Protected Method,"io.searchbox.client.http.JestHttpClient.constructHttpMethod",,,,,,,,,,,,,,,,,,,,,,,,,,,7,26,3,23,2,19,0,5,12,1,13,20,2,18,7,7,9,1,4,,,,,0,,1,0,,,"0.00",7,7,9,1
Protected Method,"io.searchbox.client.http.JestHttpClient.createJsonStringEntity",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,3,10,2,6,0,6,2,0,5,7,2,5,2,2,4,1,1,,,,,0,,1,0,,,"0.00",2,2,4,1
Private Generic Method,"io.searchbox.client.http.JestHttpClient.deserializeResponse",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,2,7,0,7,1,0,2,3,2,2,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
TypeVariable,"io.searchbox.client.http.JestHttpClient.deserializeResponse.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Generic Method,"io.searchbox.client.http.JestHttpClient.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,6,22,5,14,2,23,15,1,8,16,5,14,7,7,7,1,1,,,,,0,,3,0,,,"0.09",7,7,7,1
TypeVariable,"io.searchbox.client.http.JestHttpClient.execute.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Generic Method,"io.searchbox.client.http.JestHttpClient.executeAsync",,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,8,34,6,22,1,16,6,1,9,19,8,14,4,4,4,1,0,,,,,0,,0,0,,,"0.03",4,4,4,1
Anonymous Class,"io.searchbox.client.http.JestHttpClient.executeAsync.(Anon_1)",1,1,1,1,5,0,5,0,1,5,5,0,,0,0,,,,3,0,3,3,0,0,0,3,,19,2,17,1,13,0,,,,4,8,4,5,,,,,,2,2,2,1,,2,1,,0,0,"0.00",4,4,4,3
Public Method,"io.searchbox.client.http.JestHttpClient.executeAsync.(Anon_1).cancelled",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,0,2,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.executeAsync.(Anon_1).completed",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,1,7,0,4,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"io.searchbox.client.http.JestHttpClient.executeAsync.(Anon_1).failed",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"io.searchbox.client.http.JestHttpClient.executeAsync.T",0,0,0,0,0,0,0,0,0,1,1,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Public Method,"io.searchbox.client.http.JestHttpClient.getAsyncClient",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.getEntityEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.getGson",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.getHttpClient",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"io.searchbox.client.http.JestHttpClient.isJson",,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,0,9,3,6,1,4,2,0,4,6,3,5,2,2,2,1,1,,,,,0,,1,0,,,"0.11",2,2,2,1
Public Method,"io.searchbox.client.http.JestHttpClient.setAsyncClient",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.setEntityEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.setGson",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,0,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.setHttpClient",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"io.searchbox.client.http.JestHttpClient.shutdownClient",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,10,2,6,0,4,2,0,4,6,1,5,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
