Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"LogMonitorController.java",1,1,1,1,15,0,9,5,,,,,2,0,1,8,,8,8,5,8,,1,1,0,6,,173,17,89,42,40,67,,,,50,65,35,34,,,,,,3,3,3,1,,,1,,,,"0.75",13,13,13,8
File,"NGrinderBaseController.java",1,1,1,1,10,0,4,5,,,,,1,0,5,17,,17,17,4,17,,1,0,1,15,,269,32,120,66,43,117,,,,66,86,54,37,,,,,,2,2,2,1,,,1,,,,"0.97",19,19,19,17
File,"PerfTestController.java",2,2,2,1,23,0,14,9,,,,,2,0,0,28,,28,28,5,28,,0,5,0,23,,793,52,471,214,267,272,,,,285,353,176,236,,,,,,7,7,12,4,,,2,,,,"0.58",63,63,72,31
File,"PerfTestRunnable.java",2,2,2,1,17,0,11,5,,,,,3,0,1,30,,30,30,7,30,,5,8,2,15,,628,59,382,124,224,187,,,,202,274,121,177,,,,,,8,8,8,7,,,3,,,,"0.49",64,64,66,46
File,"PerfTestService.java",1,1,1,1,16,0,9,5,,,,,5,0,3,85,,85,85,7,85,,2,7,1,75,,1668,131,937,360,554,603,,,,533,698,318,480,,,,,,6,6,7,4,,,4,,,,"0.64",159,159,162,97
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.common",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.ngrinder.common.controller",1,1,1,1,10,0,4,5,,,,,1,0,5,,1,,17,4,17,,1,0,1,15,,269,32,120,66,43,117,,,,66,86,54,37,,,,,,2,2,2,1,,,1,,,,"0.97",19,19,19,17
Public Class,"org.ngrinder.common.controller.NGrinderBaseController",1,1,1,1,10,0,4,5,2,20,20,2,,0,5,,,,17,4,17,17,1,0,1,15,,229,26,99,45,43,104,,,,45,65,33,37,,,,,,2,2,2,1,,1,1,,89,87,"1.05",19,19,19,17
