Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Accumulator.java",2,2,2,2,9,0,8,0,,,,,2,1,1,5,,5,4,2,5,,0,0,0,5,,86,15,53,16,29,18,,,,27,42,16,26,,,,,,6,6,6,6,,,2,,,,"0.34",13,13,13,12
File,"Accumulator_cascade.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,1,1,,0,0,0,1,,35,6,10,7,2,19,,,,6,8,7,1,,,,,,1,1,1,1,,,0,,,,"1.90",1,1,1,1
File,"BM25ScoringFunction.java",1,1,1,1,6,0,6,0,,,,,1,0,0,6,,6,6,6,6,,0,0,0,6,,84,12,49,24,20,23,,,,24,34,18,16,,,,,,4,4,4,1,,,1,,,,"0.47",9,9,9,6
File,"BM25ScoringFunction_cascade.java",1,1,1,1,8,1,7,0,,,,,1,0,3,3,,3,3,0,3,,0,0,0,3,,64,12,33,17,11,19,,,,18,23,14,9,,,,,,2,2,2,1,,,1,,,,"0.58",4,4,4,3
File,"BatchQueryRunner.java",2,2,3,1,16,2,12,1,,,,,1,0,1,20,,20,20,12,20,,0,9,1,10,,409,74,292,110,188,43,,,,169,232,117,163,,,,,,8,8,8,3,,,4,,,,"0.15",59,59,62,22
File,"BatchQueryRunner_cascade.java",7,7,8,1,48,8,33,5,,,,,1,0,0,9,,9,9,9,9,,0,4,0,5,,521,104,347,106,225,72,,,,209,282,116,208,,,,,,24,24,24,3,,,5,,,,"0.21",71,71,75,11
File,"CascadeEval.java",10,10,11,4,86,21,54,13,,,,,1,0,3,11,,11,11,28,11,,0,1,0,10,,1101,277,655,177,474,199,,,,434,553,205,380,,,,,,58,58,67,28,,,12,,,,"0.30",115,115,126,48
File,"Clique.java",1,1,1,1,6,0,4,1,,,,,3,0,0,26,,24,26,12,26,,0,1,0,25,,246,37,134,46,60,83,,,,64,99,46,57,,,,,,3,3,3,3,,,2,,,,"0.62",31,31,31,28
File,"CliqueFactory.java",10,10,12,3,69,12,48,9,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,180,32,112,45,71,36,,,,76,99,48,70,,,,,,15,15,19,5,,,4,,,,"0.32",21,21,25,6
File,"CliqueFactory_cascade.java",10,10,12,3,70,13,48,9,,,,,1,2,0,2,,2,0,0,2,,0,0,0,2,,184,34,113,46,71,37,,,,77,100,49,70,,,,,,15,15,19,5,,,4,,,,"0.33",21,21,25,6
