Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AA.java",1,1,1,1,5,0,5,0,,,,,1,0,1,10,,10,10,1,10,,0,0,0,10,,77,12,65,24,29,0,,,,31,46,20,26,,,,,,3,3,4,1,,,1,,,,"0.00",14,14,17,10
File,"AADelete.java",17,17,22,4,111,5,104,5,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,236,14,219,21,178,11,,,,142,174,19,157,,,,,,33,33,43,8,,,6,,,,"0.05",34,34,44,9
File,"AAInsert.java",5,5,7,4,48,1,45,1,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,109,7,99,13,77,3,,,,70,82,12,70,,,,,,10,10,13,7,,,4,,,,"0.03",11,11,14,8
File,"AANode.java",1,1,2,1,6,0,6,0,,,,,1,0,0,6,,6,6,0,6,,0,0,0,6,,54,7,47,14,23,0,,,,23,35,13,23,,,,,,4,4,5,1,,,1,,,,"0.00",11,11,13,6
File,"ADTs.java",3,3,4,1,14,0,14,0,,,,,1,1,2,1,,1,0,0,1,,0,0,0,1,,38,3,26,12,15,13,,,,10,14,7,7,,,,,,3,3,4,1,,,1,,,,"0.50",3,3,4,1
File,"AVL.java",1,1,1,1,3,0,3,0,,,,,1,0,1,5,,5,5,0,5,,0,0,0,5,,32,7,25,14,6,0,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,,"0.00",5,5,5,5
File,"AVLDelete.java",13,13,13,4,97,3,93,6,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,208,11,196,16,162,13,,,,134,160,15,145,,,,,,25,25,26,8,,,4,,,,"0.07",26,26,27,9
File,"AVLInsert.java",6,6,6,4,61,1,59,2,,,,,1,0,0,2,,2,2,3,2,,0,0,0,2,,135,7,127,12,104,5,,,,94,108,11,97,,,,,,12,12,12,7,,,4,,,,"0.04",13,13,13,8
File,"AVLNode.java",2,1,2,1,8,0,8,0,,,,,1,0,0,9,,9,9,1,9,,0,0,0,9,,106,15,89,25,54,2,,,,49,64,22,42,,,,,,9,5,11,1,,,2,,,,"0.02",20,16,22,9
File,"AlgVis.java",3,3,3,1,29,3,20,6,,,,,1,0,1,4,,4,4,6,4,,0,0,0,4,,150,22,103,39,64,25,,,,85,100,44,69,,,,,,6,6,6,4,,,3,,,,"0.24",14,14,14,7
File,"AlgVisApplet.java",8,8,9,4,47,1,37,11,,,,,1,0,3,1,,1,1,0,1,,0,0,0,1,,63,6,48,18,31,11,,,,30,40,18,27,,,,,,8,8,9,4,,,3,,,,"0.23",8,8,9,4
File,"AlgVisStandalone.java",2,2,2,2,18,1,16,1,,,,,2,1,2,2,,2,1,0,2,,0,0,0,2,,46,6,38,11,25,3,,,,24,30,13,19,,,,,,4,4,4,4,,,0,,,,"0.08",5,5,5,5
File,"Algorithm.java",1,1,1,1,5,0,5,0,,,,,1,0,0,11,,11,11,3,11,,0,1,1,9,,92,13,63,18,29,16,,,,28,45,18,27,,,,,,4,4,4,1,,,3,,,,"0.25",14,14,14,11
File,"BNode.java",2,2,2,1,9,0,9,0,,,,,1,0,0,40,,40,40,11,40,,1,1,0,38,,475,46,405,76,254,27,,,,256,354,101,256,,,,,,8,8,8,4,,,2,,,,"0.07",98,98,101,53
