Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"NuxeoTypeHelper.java",3,3,3,2,23,0,22,1,,,,,1,15,16,15,,15,0,0,15,,0,0,10,5,,488,35,394,115,286,62,,,,203,246,100,163,,,,,,9,9,10,6,,,4,,,,"0.16",52,45,54,31
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo.ecm",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo.ecm.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo.ecm.core.opencmis",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo.ecm.core.opencmis.impl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.nuxeo.ecm.core.opencmis.impl.server",3,3,3,2,23,0,22,1,,,,,1,15,16,,1,,0,0,15,,0,0,10,5,,488,35,394,115,286,62,,,,203,246,100,163,,,,,,9,9,10,6,,,4,,,,"0.16",52,45,54,31
Public Class,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper",3,3,3,2,23,0,22,1,1,43,43,0,,15,16,,,,0,0,15,15,0,0,10,5,,426,33,352,73,286,44,,,,161,204,58,163,,,,,,9,9,10,6,,1,4,,0,0,"0.12",52,45,54,31
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.addBasePropertyDefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,18,32,0,32,1,30,0,2,1,0,9,10,1,9,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.addDocumentPropertyDefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,22,59,0,58,2,55,1,2,1,0,14,15,1,14,1,1,1,1,0,,,,,0,,0,0,,,"0.02",1,1,1,1
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.addFolderPropertyDefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,0,13,2,10,0,2,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.addRelationshipPropertyDefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,0,9,2,6,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.addSchemaPropertyDefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,8,43,0,39,9,29,4,15,9,1,16,23,8,19,6,6,6,5,4,,,,,4,,4,4,,,"0.10",6,6,6,5
Public Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.construct",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,11,6,7,1,7,2,0,5,8,5,6,2,2,2,1,0,,,,,0,,1,0,,,"0.09",2,2,2,1
Protected Static Method,"org.nuxeo.ecm.core.opencmis.impl.server.NuxeoTypeHelper.constructBase",,,,,,,,,,,,,,,,,,,,,,,,,,,17,47,0,47,11,40,0,27,9,1,33,38,7,33,9,9,10,1,4,,,,,0,,1,0,,,"0.00",9,9,10,1
