Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"BuildPositionalIndexIP.java",1,1,1,1,15,2,10,2,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,82,15,46,21,25,21,,,,33,39,21,23,,,,,,3,3,3,3,,,1,,,,"0.46",5,5,5,5
File,"BuildTermDocVectors.java",2,2,2,0,25,4,18,2,,,,,6,0,7,13,,7,13,11,13,,0,0,0,13,,424,77,309,137,213,44,,,,223,257,119,188,,,,,,8,8,8,4,,,3,,,,"0.14",27,27,27,12
File,"GenericIndexBuilder.java",7,7,8,2,79,11,66,3,,,,,1,1,8,2,,2,1,0,2,,0,0,0,2,,210,29,177,65,125,6,,,,129,143,62,94,,,,,,13,13,16,4,,,2,,,,"0.03",14,14,17,5
File,"PreprocessGov2.java",1,1,1,1,22,3,16,2,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,112,18,72,32,42,23,,,,59,65,32,39,,,,,,3,3,3,3,,,1,,,,"0.32",5,5,5,5
File,"PreprocessTrec45.java",1,1,1,1,22,3,16,3,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,112,18,72,32,42,24,,,,59,65,32,39,,,,,,3,3,3,3,,,1,,,,"0.33",5,5,5,5
File,"PreprocessWt10g.java",1,1,1,1,22,3,16,2,,,,,1,2,1,3,,3,1,0,3,,0,1,0,2,,112,18,72,32,42,23,,,,59,65,32,39,,,,,,3,3,3,3,,,1,,,,"0.32",5,5,5,5
Package,"ivory",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ivory.app",2,2,2,1,28,4,22,2,,,,,5,9,12,,5,,5,0,14,,0,4,0,10,,628,98,439,182,276,97,,,,339,377,179,234,,,,,,13,13,16,4,,,2,,,,"0.22",34,34,37,25
Public Class,"ivory.app.BuildPositionalIndexIP",1,1,1,1,15,2,10,2,2,10,10,0,,2,1,,,,1,0,3,3,0,1,0,2,,52,11,35,10,25,6,,,,22,28,10,23,,,,,,3,3,3,3,,2,1,,0,0,"0.17",5,5,5,5
Public Static Method,"ivory.app.BuildPositionalIndexIP.main",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Private Static Method,"ivory.app.BuildPositionalIndexIP.printUsage",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ivory.app.BuildPositionalIndexIP.run",,,,,,,,,,,,,,,,,,,,,,,,,,,7,35,8,24,6,20,3,12,3,0,17,20,6,18,3,3,3,3,2,,,,,2,,1,2,,,"0.12",3,3,3,3
Public Class,"ivory.app.GenericIndexBuilder",7,7,8,2,79,11,66,3,2,33,33,0,,1,8,,,,1,0,2,2,0,0,0,2,,171,25,142,31,125,6,,,,95,109,28,94,,,,,,13,13,16,4,,2,2,,0,0,"0.04",14,14,17,5
Public Static Method,"ivory.app.GenericIndexBuilder.main",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"ivory.app.GenericIndexBuilder.run",,,,,,,,,,,,,,,,,,,,,,,,,,,30,152,22,129,20,116,3,35,146,2,86,98,18,92,13,13,16,4,10,,,,,4,,2,4,,,"0.02",13,13,16,4
