Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JdbcManagedItemRepository.java",2,2,2,1,17,3,13,0,,,,,3,1,0,32,,40,39,5,40,,10,3,0,27,,682,153,513,222,305,16,,,,290,395,206,267,,,,,,9,9,9,7,,,4,,,,"0.03",88,88,91,44
File,"Tags.java",1,1,1,1,6,0,6,0,,,,,1,0,1,12,,12,12,1,12,,0,0,0,12,,106,18,87,33,38,1,,,,36,64,33,38,,,,,,3,3,3,3,,,2,,,,"0.01",23,23,23,14
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.platformlayer",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.platformlayer.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.platformlayer.core.model",1,1,1,1,6,0,6,0,,,,,1,0,1,,1,,12,1,12,,0,0,0,12,,106,18,87,33,38,1,,,,36,64,33,38,,,,,,3,3,3,3,,,2,,,,"0.01",23,23,23,14
Public Class,"org.platformlayer.core.model.Tags",1,1,1,1,6,0,6,0,2,10,10,0,,0,1,,,,12,1,12,12,0,0,0,12,,92,13,78,24,38,1,,,,27,55,24,38,,,,,,3,3,3,3,,1,2,,33,0,"0.01",23,23,23,14
Public Method,"org.platformlayer.core.model.Tags.add",,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.platformlayer.core.model.Tags.add",,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,6,2,4,0,1,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.platformlayer.core.model.Tags.addAll",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,7,1,3,0,1,3,0,1,5,2,3,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.platformlayer.core.model.Tags.find",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,2,5,0,6,3,0,3,7,3,5,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.platformlayer.core.model.Tags.findTags",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,2,5,0,5,3,0,3,7,3,5,3,3,3,1,0,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.platformlayer.core.model.Tags.findUnique",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,2,4,0,3,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.platformlayer.core.model.Tags.findUniqueTag",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,10,2,6,1,7,3,0,4,7,2,6,3,3,3,1,1,,,,,0,,1,0,,,"0.10",3,3,3,1
Public Method,"org.platformlayer.core.model.Tags.hasTag",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.platformlayer.core.model.Tags.hasTag",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,1,4,0,2,3,0,2,6,2,4,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
Public Method,"org.platformlayer.core.model.Tags.isEmpty",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.platformlayer.core.model.Tags.iterator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.platformlayer.core.model.Tags.toString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Package,"org.platformlayer.guice",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.platformlayer.guice.xaas",2,2,2,1,17,3,13,0,,,,,3,1,0,,1,,39,5,40,,10,3,0,27,,682,153,513,222,305,16,,,,290,395,206,267,,,,,,9,9,9,7,,,4,,,,"0.03",88,88,91,44
Public Class,"org.platformlayer.guice.xaas.JdbcManagedItemRepository",4,4,4,1,30,6,22,1,2,48,48,0,,1,0,,,,12,4,13,13,2,3,0,8,,629,148,465,174,305,16,,,,242,347,158,267,,,,,,9,9,9,7,,1,4,,92,88,"0.03",55,55,58,25
Class,"org.platformlayer.guice.xaas.JdbcManagedItemRepository.DbHelper",1,1,1,1,8,1,7,0,1,24,24,0,,0,0,,,,19,1,19,19,0,0,0,19,,180,38,140,39,90,2,,,,75,112,41,82,,,,,,5,5,5,1,,2,3,,57,36,"0.01",33,33,33,19
Public Constructor,"org.platformlayer.guice.xaas.JdbcManagedItemRepository.DbHelper.DbHelper",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,5,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
