Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"GraphImporter.java",8,8,8,2,63,1,46,16,,,,,1,2,0,20,,20,18,7,20,,0,6,0,14,,1366,55,967,257,737,356,,,,671,874,316,729,,,,,,45,45,45,20,,,9,,,,"0.37",163,163,163,56
Package,"opentree",8,8,8,2,63,1,46,16,,,,,1,2,0,,1,,18,7,20,,0,6,0,14,,1366,55,967,257,737,356,,,,671,874,316,729,,,,,,45,45,45,20,,,9,,,,"0.37",163,163,163,56
Public Class,"opentree.GraphImporter",8,8,8,2,63,1,46,16,1,33,33,0,,2,0,,,,18,7,20,20,0,6,0,14,,1329,47,941,231,737,353,,,,645,848,290,729,,,,,,45,45,45,20,,2,9,,82,75,"0.38",163,163,163,56
Public Constructor,"opentree.GraphImporter.GraphImporter",,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,0,10,1,8,2,4,1,0,8,9,1,8,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Constructor,"opentree.GraphImporter.GraphImporter",,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,0,10,1,8,2,4,1,0,8,9,1,8,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"opentree.GraphImporter.addInitialTaxonomyTableIntoGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,14,253,4,206,54,172,43,22,72460,5,148,182,61,169,29,29,29,8,6,,,,,6,,9,3,,,"0.21",29,29,29,8
Private Method,"opentree.GraphImporter.addProcessedNodeRelationships",,,,,,,,,,,,,,,,,,,,,,,,,,,17,146,9,99,14,78,39,23,16108,4,68,89,22,75,20,20,20,6,7,,,,,6,,5,2,,,"0.39",20,20,20,6
Public Method,"opentree.GraphImporter.addSetTreeToGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,13,98,2,65,17,54,34,25,33,2,46,58,20,51,10,10,10,1,2,,,,,0,,5,0,,,"0.52",10,10,10,1
Public Method,"opentree.GraphImporter.addSetTreeToGraphWIdsSet",,,,,,,,,,,,,,,,,,,,,,,,,,,9,64,1,42,13,36,21,22,5,1,35,40,15,36,4,4,4,1,0,,,,,0,,2,0,,,"0.50",4,4,4,1
Public Method,"opentree.GraphImporter.deleteAllTrees",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,3,5,0,5,2,0,4,7,4,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"opentree.GraphImporter.deleteAllTreesAndReprocess",,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,0,20,5,16,5,10,4,1,12,16,6,14,4,4,4,1,3,,,,,0,,2,0,,,"0.25",4,4,4,1
Public Method,"opentree.GraphImporter.deleteTreeBySource",,,,,,,,,,,,,,,,,,,,,,,,,,,11,39,0,38,4,30,1,11,8,1,21,31,7,27,4,4,4,1,0,,,,,0,,2,0,,,"0.03",4,4,4,1
Public Static Method,"opentree.GraphImporter.getAdjNodeFromFirstRelationshipBySource",,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,0,12,1,7,10,6,4,1,3,8,2,6,4,4,4,4,7,,,,,7,,3,7,,,"0.83",4,4,4,4
Private Method,"opentree.GraphImporter.initMrcaAndStreeRelsTax",,,,,,,,,,,,,,,,,,,,,,,,,,,15,58,0,46,9,36,14,19,10,1,26,35,9,31,6,6,6,1,1,,,,,0,,4,0,,,"0.30",6,6,6,1
Public Static Method,"opentree.GraphImporter.main",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Private Method,"opentree.GraphImporter.postOrderaddProcessedTreeToGraph",,,,,,,,,,,,,,,,,,,,,,,,,,,13,136,3,93,29,75,40,25,602,3,74,90,36,77,16,16,16,1,2,,,,,0,,5,0,,,"0.43",16,16,16,1
Private Method,"opentree.GraphImporter.postorderAddMRCAsTax",,,,,,,,,,,,,,,,,,,,,,,,,,,6,46,1,34,9,25,11,11,42,2,26,36,15,29,8,8,8,1,0,,,,,0,,3,0,,,"0.32",8,8,8,1
Public Method,"opentree.GraphImporter.preProcessTree",,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,0,12,4,10,9,6,2,0,8,10,4,8,2,2,2,1,1,,,,,0,,1,0,,,"0.75",2,2,2,1
Public Method,"opentree.GraphImporter.setTree",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,0,5,1,3,5,5,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"opentree.GraphImporter.setTree",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,3,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"opentree.GraphImporter.testIsMRCA",,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,0,17,8,10,18,5,3,0,10,13,6,10,3,3,3,3,2,,,,,2,,2,2,,,"1.06",3,3,3,3
Public Method,"opentree.GraphImporter.updateAfterTreeIngest",,,,,,,,,,,,,,,,,,,,,,,,,,,15,282,4,205,47,158,73,32,76223571,8,134,196,69,168,45,45,45,20,11,,,,,11,,8,10,,,"0.36",45,45,45,20
Private Method,"opentree.GraphImporter.updateAfterTreeIngestRemapTree",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
