Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"RulesLanguageTest.java",1,1,1,1,8,0,7,0,,,,,1,2,0,31,,31,29,0,31,,0,0,0,31,,297,42,254,140,153,1,,,,148,180,108,107,,,,,,1,1,1,1,,,0,,,,"0.00",31,31,31,31
File,"RulesMachineVisitor.java",4,3,4,1,18,0,18,0,,,,,1,0,0,27,,27,27,11,27,,0,4,0,23,,599,41,551,154,337,7,,,,243,357,150,255,,,,,,23,20,25,1,,,5,,,,"0.01",109,101,114,27
File,"RulesProject.java",3,3,3,1,14,0,14,0,,,,,2,1,0,26,,26,25,9,26,,0,8,1,17,,445,45,396,127,252,4,,,,211,314,147,228,,,,,,12,12,12,5,,,4,,,,"0.01",81,81,84,38
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.be4",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.be4.classicalb",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.be4.classicalb.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.be4.classicalb.core.parser",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.be4.classicalb.core.parser.rules",1,1,1,1,8,0,7,0,,,,,1,2,0,,1,,29,0,31,,0,0,0,31,,297,42,254,140,153,1,,,,148,180,108,107,,,,,,1,1,1,1,,,0,,,,"0.00",31,31,31,31
Public Class,"de.be4.classicalb.core.parser.rules.RulesLanguageTest",1,1,1,1,8,0,7,0,1,7,7,0,,2,0,,,,29,0,31,31,0,0,0,31,,284,37,246,132,153,1,,,,140,172,100,107,,,,,,1,1,1,1,,1,0,,0,0,"0.00",31,31,31,31
Public Static Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.getFileAsPrologTerm",,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,0,11,4,9,0,6,1,0,9,10,4,9,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.getRulesMachineAsPrologTerm",,,,,,,,,,,,,,,,,,,,,,,,,,,30,11,0,11,4,9,0,6,1,0,9,10,4,9,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testActivation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,5,5,0,3,1,0,5,6,4,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testActivationFunction",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,5,5,0,3,1,0,5,6,4,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testAllowedDefinitionCall",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,4,4,0,4,1,0,4,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testComputation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,4,6,0,4,1,0,5,6,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDefine",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,4,5,0,4,1,0,4,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDefineReadItself",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,5,5,0,3,1,0,5,6,4,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDefinition",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,4,6,0,5,1,0,5,6,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDefinitionInjection",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,4,6,0,4,1,0,5,6,3,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDependsOnComputation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,5,5,0,4,1,0,4,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testDependsOnRule",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,5,5,0,4,1,0,4,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testForAllPredicate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,4,4,0,4,1,0,4,5,3,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"de.be4.classicalb.core.parser.rules.RulesLanguageTest.testForLoop",,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,6,4,3,0,3,1,0,3,4,3,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
