Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Parser.java",3,3,3,1,16,1,13,1,,,,,3,16,1,29,,29,13,8,29,,12,17,0,0,,566,66,441,122,299,64,,,,205,307,111,235,,,,,,17,17,21,5,,,3,,,,"0.15",97,97,106,48
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.typesafe",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.typesafe.config",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.typesafe.config.impl",3,3,3,1,16,1,13,1,,,,,3,16,1,,1,,13,8,29,,12,17,0,0,,566,66,441,122,299,64,,,,205,307,111,235,,,,,,17,17,21,5,,,3,,,,"0.15",97,97,106,48
Final Class,"com.typesafe.config.impl.Parser",2,2,2,1,12,0,10,1,1,28,28,0,,16,1,,,,0,0,16,16,9,7,0,0,,542,63,420,101,299,64,,,,184,286,90,235,,,,,,8,8,9,3,,1,3,,93,93,"0.15",38,38,43,22
Static Class,"com.typesafe.config.impl.Parser.Element",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,1,2,1,1,1,0,0,0,,10,1,8,4,2,1,,,,4,6,4,2,,,,,,1,1,1,1,,1,0,,0,0,"0.12",1,1,1,1
Constructor,"com.typesafe.config.impl.Parser.Element.Element",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Final Class,"com.typesafe.config.impl.Parser.ParseContext",4,4,5,2,23,2,19,2,1,26,26,0,,0,0,,,,12,6,12,12,2,10,0,0,,304,36,241,46,184,30,,,,110,170,44,144,,,,,,17,17,21,5,,1,3,,80,33,"0.12",58,58,62,25
Constructor,"com.typesafe.config.impl.Parser.ParseContext.ParseContext",,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0,9,2,6,0,7,1,0,6,7,1,6,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.consolidateValueTokens",,,,,,,,,,,,,,,,,,,,,,,,,,,5,88,11,67,13,58,13,25,247,2,32,50,12,45,17,17,21,4,7,,,,,3,,3,3,,,"0.19",17,17,21,4
Private Method,"com.typesafe.config.impl.Parser.ParseContext.lineOrigin",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.nextToken",,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,2,17,2,12,0,8,8,1,6,11,2,9,5,5,5,1,2,,,,,0,,2,0,,,"0.00",5,5,5,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.nextTokenIgnoringNewline",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,0,8,2,5,0,5,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Method,"com.typesafe.config.impl.Parser.ParseContext.parse",,,,,,,,,,,,,,,,,,,,,,,,,,,6,30,2,27,3,22,1,5,16,1,11,17,3,15,6,6,6,1,5,,,,,0,,1,0,,,"0.04",6,6,6,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.parseArray",,,,,,,,,,,,,,,,,,,,,,,,,,,7,53,6,41,4,35,6,10,41,2,18,29,4,28,11,11,11,4,10,,,,,4,,2,3,,,"0.15",11,11,11,4
Private Method,"com.typesafe.config.impl.Parser.ParseContext.parseError",,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.parseError",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"com.typesafe.config.impl.Parser.ParseContext.parseObject",,,,,,,,,,,,,,,,,,,,,,,,,,,8,49,3,39,8,32,7,10,16,1,19,27,8,25,8,8,8,5,7,,,,,7,,3,6,,,"0.18",8,8,8,5
Private Method,"com.typesafe.config.impl.Parser.ParseContext.parseValue",,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,0,12,1,9,0,6,4,1,4,8,1,7,4,4,4,4,3,,,,,3,,1,3,,,"0.00",4,4,4,4
