Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"IdeManagerImpl.java",2,2,2,1,10,0,9,0,,,,,2,11,1,18,,18,7,1,18,,1,9,0,8,,252,33,206,90,96,13,,,,93,141,75,89,,,,,,7,7,9,3,,,6,,,,"0.06",44,44,48,22
File,"PluginManagerImpl.java",2,2,2,2,13,0,13,0,,,,,2,0,2,18,,18,18,1,18,,0,13,0,5,,292,30,258,97,142,4,,,,123,179,81,122,,,,,,10,10,12,9,,,4,,,,"0.02",51,51,53,37
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.intellij",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.intellij.structure",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.intellij.structure.impl",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.intellij.structure.impl.domain",2,2,2,1,12,0,11,0,,,,,4,11,3,,2,,25,2,36,,1,22,0,13,,544,63,464,187,238,17,,,,216,320,156,211,,,,,,10,10,12,9,,,6,,,,"0.04",95,95,101,59
Public Class,"com.intellij.structure.impl.domain.IdeManagerImpl",2,2,2,1,10,0,9,0,1,32,32,0,,11,1,,,,4,0,15,15,0,8,0,7,,222,30,179,63,96,13,,,,66,114,48,89,,,,,,7,7,9,3,,2,6,,0,0,"0.07",36,36,40,17
Private Static Class,"com.intellij.structure.impl.domain.IdeManagerImpl.PluginFromSourcePathResolver",2,2,2,1,10,0,9,0,1,12,12,0,,0,0,,,,3,1,3,3,1,1,0,1,,37,4,32,10,16,1,,,,11,19,7,14,,,,,,5,5,5,3,,2,2,,33,0,"0.03",8,8,8,5
Constructor,"com.intellij.structure.impl.domain.IdeManagerImpl.PluginFromSourcePathResolver.PluginFromSourcePathResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
