Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"JenkinsBrowserLogicTest.java",1,1,1,1,10,2,8,1,,,,,2,0,0,18,,18,18,5,18,,0,8,3,7,,252,65,170,54,111,41,,,,93,112,53,71,,,,,,1,1,1,1,,,0,,,,"0.24",18,18,18,18
File,"JenkinsControlComponent.java",1,1,1,1,5,0,5,0,,,,,3,0,5,21,,21,21,5,21,,0,1,0,20,,219,57,147,81,58,15,,,,80,105,73,43,,,,,,3,3,3,1,,,2,,,,"0.10",24,24,25,21
File,"JenkinsRssWidget.java",1,1,1,1,4,0,4,0,,,,,1,0,0,9,,9,9,2,9,,0,1,0,8,,81,15,51,26,18,15,,,,30,40,25,18,,,,,,1,1,1,1,,,0,,,,"0.29",9,9,9,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.codinjutsu",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.codinjutsu.tools",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.codinjutsu.tools.jenkins",1,1,1,1,5,0,5,0,,,,,3,0,5,,1,,21,5,21,,0,1,0,20,,219,57,147,81,58,15,,,,80,105,73,43,,,,,,3,3,3,1,,,2,,,,"0.10",24,24,25,21
Public Class,"org.codinjutsu.tools.jenkins.JenkinsControlComponent",1,1,1,1,5,0,5,0,4,27,27,0,,0,5,,,,19,5,19,19,0,1,0,18,,169,52,117,51,58,0,,,,50,75,43,43,,,,,,3,3,3,1,,1,2,,77,73,"0.00",22,22,23,19
Public Constructor,"org.codinjutsu.tools.jenkins.JenkinsControlComponent.JenkinsControlComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.codinjutsu.tools.jenkins.JenkinsControlComponent.apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,1,10,1,6,0,3,3,0,3,6,1,5,3,3,3,1,1,,,,,0,,2,0,,,"0.00",3,3,3,1
Public Method,"org.codinjutsu.tools.jenkins.JenkinsControlComponent.createComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,3,0,3,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.codinjutsu.tools.jenkins.JenkinsControlComponent.disposeComponent",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
