Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Pair.java",1,1,1,1,3,0,3,0,,,,,1,1,0,2,,2,1,2,2,,0,0,0,2,,34,5,12,6,3,17,,,,6,9,6,3,,,,,,1,1,1,1,,,0,,,,"1.42",2,2,2,2
File,"ProcessInstancesResult.java",1,1,1,0,4,0,4,0,,,,,3,0,0,11,,9,11,9,11,,0,1,0,10,,80,15,65,33,23,1,,,,29,44,27,21,,,,,,3,3,3,1,,,2,,,,"0.02",13,13,13,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.ivory.resource",1,1,1,0,3,0,3,0,,,,,4,1,0,,2,,12,11,13,,0,1,0,12,,114,20,77,39,26,18,,,,35,53,33,24,,,,,,3,3,3,1,,,2,,,,"0.23",15,15,15,11
Public Generic Class,"org.apache.ivory.resource.Pair",1,1,1,1,3,0,3,0,1,0,0,0,,1,0,,,,1,2,2,2,0,0,0,2,,13,2,11,5,3,0,,,,5,8,5,3,,,,,,1,1,1,1,,1,0,,50,0,"0.00",2,2,2,2
TypeVariable,"org.apache.ivory.resource.Pair.A",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.apache.ivory.resource.Pair.B",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Constructor,"org.apache.ivory.resource.Pair.Pair",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Generic Method,"org.apache.ivory.resource.Pair.of",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
TypeVariable,"org.apache.ivory.resource.Pair.of.A",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
TypeVariable,"org.apache.ivory.resource.Pair.of.B",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Public Class,"org.apache.ivory.resource.ProcessInstancesResult",1,1,1,1,6,0,6,0,1,8,8,0,,0,0,,,,5,1,5,5,0,1,0,4,,69,11,58,27,23,1,,,,23,38,21,21,,,,,,3,3,3,1,,2,2,,19,19,"0.02",9,9,9,5
