Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"CacheResolver.java",1,1,1,1,4,0,4,0,,,,,1,0,0,10,,10,10,2,10,,0,0,0,10,,79,14,62,36,16,3,,,,27,39,25,16,,,,,,3,3,3,1,,,1,,,,"0.05",12,12,12,10
File,"CompileOutputResolver.java",1,1,1,1,6,0,6,0,,,,,1,0,0,10,,10,10,3,10,,0,1,0,9,,96,14,78,43,26,4,,,,35,52,32,26,,,,,,3,3,3,1,,,2,,,,"0.05",16,16,16,10
File,"ContainerResolver.java",2,2,2,1,9,0,9,0,,,,,2,1,0,11,,11,10,2,11,,0,1,0,10,,131,14,114,45,48,3,,,,42,77,39,43,,,,,,5,5,5,3,,,2,,,,"0.03",27,27,27,21
File,"EmptyResolver.java",1,1,1,1,4,0,4,0,,,,,1,0,1,8,,8,8,0,8,,0,0,0,8,,63,12,47,31,8,4,,,,17,26,19,8,,,,,,1,1,1,1,,,0,,,,"0.09",8,8,8,8
File,"FilesResolver.java",1,1,1,1,5,0,5,0,,,,,1,0,0,9,,9,9,3,9,,0,0,0,9,,81,14,64,37,17,3,,,,26,40,26,17,,,,,,3,3,3,1,,,2,,,,"0.05",13,13,13,9
File,"JarFileResolver.java",1,1,1,1,6,0,6,0,,,,,1,0,1,11,,11,11,3,11,,0,2,0,9,,108,18,87,48,29,3,,,,42,58,36,26,,,,,,3,3,3,1,,,2,,,,"0.03",16,16,16,11
File,"JarsUtils.java",2,2,2,1,10,0,9,0,,,,,2,3,1,4,,4,1,0,4,,0,1,0,3,,64,10,54,24,22,0,,,,28,40,25,17,,,,,,4,4,4,1,,,2,,,,"0.00",10,10,11,4
File,"PluginResolver.java",2,2,2,1,8,0,8,0,,,,,1,1,2,12,,12,11,4,12,,0,4,0,8,,153,17,133,59,56,3,,,,63,92,48,51,,,,,,6,6,7,5,,,3,,,,"0.02",25,25,27,18
File,"Resolver.java",1,1,1,1,11,0,4,7,,,,,1,6,0,6,,12,6,0,12,,0,0,0,12,,155,16,49,36,7,90,,,,25,32,26,7,,,,,,2,2,2,1,,,0,,,,"1.84",7,7,7,6
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure.classes",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.jetbrains.plugin.structure.classes.resolvers",1,1,1,1,6,0,6,0,,,,,9,8,4,,8,,75,17,83,,0,8,0,75,,866,119,634,335,207,113,,,,277,416,251,194,,,,,,6,6,7,5,,,3,,,,"0.18",124,124,126,93
Public Class,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver",1,1,1,1,4,0,4,0,1,10,10,0,,0,0,,,,10,2,10,22,0,0,0,10,,66,11,52,26,16,3,,,,17,29,15,16,,,,,,3,3,3,1,,2,1,,44,35,"0.06",12,12,12,10
Public Constructor,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.CacheResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Constructor,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.CacheResolver",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.close",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"com.jetbrains.plugin.structure.classes.resolvers.CacheResolver.containsClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
