Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractGemMojo.java",7,7,8,1,48,3,41,4,,,,,1,0,0,6,,7,7,18,7,,0,1,5,1,,487,50,297,77,185,145,,,,136,178,72,123,,,,,,22,22,22,4,,,4,,,,"0.49",45,45,50,9
Package,"de",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.saumya",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.saumya.mojo",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"de.saumya.mojo.gem",7,7,8,1,48,3,41,4,,,,,1,0,0,,1,,7,18,7,,0,1,5,1,,487,50,297,77,185,145,,,,136,178,72,123,,,,,,22,22,22,4,,,4,,,,"0.49",45,45,50,9
Public Abstract Class,"de.saumya.mojo.gem.AbstractGemMojo",7,7,8,1,48,3,41,4,1,26,26,0,,0,0,,,,7,18,7,7,0,1,5,1,,459,46,273,53,185,145,,,,112,154,48,123,,,,,,22,22,22,4,,2,4,,81,79,"0.53",45,45,50,9
Public Method,"de.saumya.mojo.gem.AbstractGemMojo.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,10,35,3,29,2,22,3,20,8,1,14,18,1,17,4,4,7,1,1,,,,,0,,1,0,,,"0.10",4,4,7,1
Protected Method,"de.saumya.mojo.gem.AbstractGemMojo.executeJRuby",,,,,,,,,,,,,,,,,,,,,,,,,,,15,145,15,117,16,85,18,29,11250,4,47,70,16,65,22,22,22,1,2,,,,,0,,4,0,,,"0.15",22,22,22,1
Protected Abstract Method,"de.saumya.mojo.gem.AbstractGemMojo.executeWithGems",,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Protected Method,"de.saumya.mojo.gem.AbstractGemMojo.gemHome",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"de.saumya.mojo.gem.AbstractGemMojo.getRemoteRepos",,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,2,4,0,4,1,0,4,5,2,4,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"de.saumya.mojo.gem.AbstractGemMojo.newScriptFactory",,,,,,,,,,,,,,,,,,,,,,,,,,,14,58,2,54,4,41,2,13,21,1,10,17,2,16,11,11,13,4,6,,,,,6,,3,6,,,"0.04",11,11,13,4
Private Method,"de.saumya.mojo.gem.AbstractGemMojo.setupNativeSupport",,,,,,,,,,,,,,,,,,,,,,,,,,,10,42,0,41,7,32,1,22,13,1,17,22,6,20,6,6,6,1,4,,,,,0,,2,0,,,"0.02",6,6,6,1
