Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TopologyCommands.java",4,4,4,1,23,0,22,0,,,,,1,0,0,5,,5,5,1,5,,0,3,0,2,,168,13,138,49,82,17,,,,71,98,47,62,,,,,,9,9,11,3,,,6,,,,"0.12",22,22,24,9
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd.cli",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"com.vmware.bdd.cli.commands",4,4,4,1,23,0,22,0,,,,,1,0,0,,1,,5,1,5,,0,3,0,2,,168,13,138,49,82,17,,,,71,98,47,62,,,,,,9,9,11,3,,,6,,,,"0.12",22,22,24,9
Public Class,"com.vmware.bdd.cli.commands.TopologyCommands",4,4,4,1,23,0,22,0,2,20,20,0,,0,0,,,,5,1,5,5,0,3,0,2,,144,9,118,30,82,17,,,,52,79,28,62,,,,,,9,9,11,3,,1,6,,60,60,"0.14",22,22,24,9
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.duplicatedNameCheck",,,,,,,,,,,,,,,,,,,,,,,,,,,7,28,2,26,5,19,0,6,14,1,12,21,8,16,6,6,6,3,2,,,,,2,,2,2,,,"0.00",6,6,6,3
Public Method,"com.vmware.bdd.cli.commands.TopologyCommands.list",,,,,,,,,,,,,,,,,,,,,,,,,,,7,11,0,11,3,7,0,4,2,0,3,5,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.prettyOutputRackInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,1,13,3,9,0,3,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"com.vmware.bdd.cli.commands.TopologyCommands.readRackInfoFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,1,49,12,37,0,11,36,2,27,37,12,30,9,9,11,3,2,,,,,2,,6,1,,,"0.00",9,9,11,3
Public Method,"com.vmware.bdd.cli.commands.TopologyCommands.upload",,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,0,15,3,10,0,6,3,0,5,8,2,7,3,3,3,1,2,,,,,0,,2,0,,,"0.00",3,3,3,1
