Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ACD_PDETest.java",1,1,1,1,66,6,54,6,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,83,11,66,20,51,6,,,,61,63,19,51,,,,,,1,1,1,1,,,0,,,,"0.09",1,1,1,1
File,"Acd.java",1,1,1,1,3,0,3,0,,,,,34,3,5,12,,13,10,15,13,,5,0,0,8,,183,53,128,72,16,2,,,,36,82,72,15,,,,,,1,1,1,1,,,0,,,,"0.02",12,12,12,12
Package,"acd",1,1,1,1,3,0,3,0,,,,,34,3,5,,1,,10,15,13,,5,0,0,8,,183,53,128,72,16,2,,,,36,82,72,15,,,,,,1,1,1,1,,,0,,,,"0.02",12,12,12,12
Public Class,"acd.Acd",1,1,1,1,3,0,3,0,1,1,1,1,,1,0,,,,0,0,1,1,0,0,0,1,,6,1,5,2,1,0,,,,1,3,2,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Static Method,"acd.Acd.getString1",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Class,"acd.Acd10",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,0,1,0,0,0,0,0,0,,3,0,3,2,0,0,,,,1,2,2,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Class,"acd.Acd11",0,0,0,0,0,0,0,0,2,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,1,0,,0,0,"0.00",0,0,0,0
Class,"acd.Acd12",0,0,0,0,0,0,0,0,1,0,0,0,,0,0,,,,0,0,0,1,0,0,0,0,,2,0,2,1,0,0,,,,0,1,1,0,,,,,,0,0,0,0,,2,0,,0,0,"0.00",0,0,0,0
Class,"acd.Acd2",1,1,1,1,3,0,3,0,1,1,1,0,,0,0,,,,1,1,1,1,0,0,0,1,,7,1,6,3,1,0,,,,2,4,3,1,,,,,,1,1,1,1,,1,0,,0,0,"0.00",1,1,1,1
Public Method,"acd.Acd2.getString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
