Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PKWareExtraHeader.java",0,0,0,0,4,0,1,3,,,,,3,2,2,10,,6,8,20,10,,2,0,0,8,,179,16,64,39,14,99,,,,22,33,21,14,,,,,,1,1,1,1,,,0,,,,"1.55",6,6,6,6
File,"X0014_X509Certificates.java",1,1,1,1,10,0,4,6,,,,,1,0,2,9,,9,9,2,9,,0,0,0,9,,164,12,47,17,21,105,,,,21,34,17,18,,,,,,2,2,2,1,,,1,,,,"2.23",13,13,13,9
File,"X0015_CertificateIdForFile.java",1,1,1,1,10,0,4,5,,,,,1,0,2,11,,11,11,4,11,,0,0,0,11,,187,16,57,21,25,114,,,,27,42,21,22,,,,,,2,2,2,1,,,1,,,,"2.00",15,15,15,11
File,"X0016_CertificateIdForCentralDirectory.java",1,1,1,1,10,0,4,6,,,,,1,0,2,11,,11,11,4,11,,0,0,0,11,,187,16,54,21,23,117,,,,26,40,21,20,,,,,,2,2,2,1,,,1,,,,"2.17",14,14,14,11
File,"X0017_StrongEncryptionHeader.java",1,1,1,1,13,0,6,6,,,,,1,0,2,14,,14,14,15,14,,0,0,0,14,,484,27,116,40,64,341,,,,77,98,42,62,,,,,,4,4,4,1,,,3,,,,"2.94",21,21,21,14
File,"X0019_EncryptionRecipientCertificateList.java",1,1,1,1,10,0,4,6,,,,,1,0,2,9,,9,9,2,9,,0,0,0,9,,172,12,47,17,21,113,,,,21,34,17,18,,,,,,2,2,2,1,,,1,,,,"2.40",13,13,13,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.commons.compress",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
