Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TestElement.java",1,1,1,1,24,2,16,5,,,,,9,1,1,104,,104,103,2,104,,0,5,0,99,,2889,420,1768,530,1357,742,,,,1247,1392,442,1226,,,,,,9,9,9,9,,,1,,,,"0.42",184,178,184,112
File,"TestTextHelper.java",1,1,1,1,6,0,6,0,,,,,1,0,0,7,,7,7,12,7,,0,0,0,7,,84,14,70,34,40,0,,,,47,55,27,38,,,,,,1,1,1,1,,,0,,,,"0.00",7,7,7,7
File,"TextHelper.java",1,1,1,1,20,0,7,13,,,,,1,6,0,7,,7,1,0,7,,0,1,0,6,,224,20,55,23,24,149,,,,22,36,18,24,,,,,,2,2,2,1,,,1,,,,"2.71",13,13,13,7
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom2",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom2.test",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.jdom2.test.cases",1,1,1,1,24,2,16,5,,,,,9,1,1,,1,,103,2,104,,0,5,0,99,,2889,420,1768,530,1357,742,,,,1247,1392,442,1226,,,,,,9,9,9,9,,,1,,,,"0.42",184,178,184,112
Public Final Class,"org.jdom2.test.cases.TestElement",1,1,1,1,25,2,17,5,1,36,36,0,,1,0,,,,96,2,97,97,0,5,0,92,,2789,403,1728,490,1357,699,,,,1207,1352,402,1226,,,,,,9,9,9,1,,1,1,,93,93,"0.40",169,169,169,97
Anonymous Class,"org.jdom2.test.cases.TestElement.(Anon_2)",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,5,0,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"org.jdom2.test.cases.TestElement.(Anon_2).compare",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,0,3,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
