Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractTiledLayerParams.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,1,3,,0,0,0,3,,65,7,15,14,1,43,,,,11,12,12,0,,,,,,0,0,0,0,,,0,,,,"2.87",0,0,0,0
File,"AbstractWMXLayerParams.java",2,2,2,1,11,0,8,2,,,,,1,0,0,6,,6,6,3,6,,0,1,0,5,,159,17,74,38,31,68,,,,40,54,33,30,,,,,,5,5,5,1,,,4,,,,"0.92",13,13,13,6
File,"OsmLayer.java",1,1,2,1,11,0,9,1,,,,,2,0,1,9,,9,9,3,9,,0,0,3,6,,167,20,115,64,43,32,,,,58,75,45,34,,,,,,5,5,8,1,,,2,,,,"0.28",15,15,18,9
File,"OsmLayerParam.java",1,1,1,1,9,0,7,1,,,,,1,0,5,6,,6,6,8,6,,0,0,0,6,,173,20,87,53,43,66,,,,45,54,39,16,,,,,,3,3,3,3,,,1,,,,"0.76",8,8,8,8
File,"TileCacheInformation.java",1,1,1,1,13,0,7,6,,,,,2,0,0,6,,12,12,4,12,,0,0,3,9,,196,19,72,51,21,105,,,,43,50,40,17,,,,,,1,1,1,1,,,0,,,,"1.46",6,6,6,6
File,"TiledWmsLayer.java",1,1,1,1,7,0,5,1,,,,,2,0,0,10,,10,10,1,10,,0,0,3,7,,138,17,85,59,15,36,,,,33,45,35,11,,,,,,1,1,1,1,,,0,,,,"0.42",10,10,10,10
File,"WMTSLayer.java",1,1,1,1,12,0,10,1,,,,,2,1,1,11,,11,10,2,11,,0,1,4,6,,209,20,149,79,67,40,,,,86,109,61,60,,,,,,4,4,4,1,,,2,,,,"0.27",20,20,20,11
File,"WMTSLayerParam.java",2,2,2,1,8,0,7,0,,,,,1,0,0,5,,5,5,11,5,,0,1,0,4,,182,16,71,42,24,95,,,,34,45,30,16,,,,,,5,5,5,5,,,2,,,,"1.34",10,10,12,9
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.mapfish.print",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
