Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"MapPatriciaTrie.java",3,3,3,2,12,0,12,0,,,,,2,0,0,17,,17,17,4,17,,0,2,0,15,,269,18,236,84,155,15,,,,138,193,75,145,,,,,,17,17,18,14,,,5,,,,"0.06",54,54,56,44
File,"PatriciaTrie.java",3,3,4,3,14,0,14,0,,,,,1,1,0,14,,14,13,2,14,,0,1,5,8,,245,17,213,68,148,15,,,,133,188,69,144,,,,,,17,17,18,14,,,5,,,,"0.07",55,55,56,47
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.trie4j",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.trie4j.patricia",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.trie4j.patricia.simple",3,3,3,2,13,0,13,0,,,,,3,1,0,,2,,30,6,31,,0,3,5,23,,514,35,449,152,303,30,,,,271,381,144,289,,,,,,17,17,18,14,,,5,,,,"0.07",109,109,112,91
Public Generic Class,"org.trie4j.patricia.simple.MapPatriciaTrie",3,3,4,3,15,0,15,0,2,13,13,0,,0,0,,,,13,2,13,13,0,2,0,11,,242,15,227,75,155,0,,,,129,184,66,145,,,,,,17,17,18,14,,2,5,,69,46,"0.00",50,50,52,40
Private Class,"org.trie4j.patricia.simple.MapPatriciaTrie.Entry",1,1,1,1,4,0,4,0,2,4,4,0,,0,0,,,,4,2,4,4,0,0,0,4,,22,1,21,10,7,0,,,,9,14,8,7,,,,,,1,1,1,1,,1,0,,37,37,"0.00",4,4,4,4
Public Constructor,"org.trie4j.patricia.simple.MapPatriciaTrie.Entry.Entry",,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.trie4j.patricia.simple.MapPatriciaTrie.Entry.getKey",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
