Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ERXWOContext.java",2,2,2,1,12,0,8,3,,,,,2,18,4,30,,30,12,1,30,,0,0,3,27,,467,38,290,108,161,140,,,,144,211,102,143,,,,,,7,7,8,1,,,4,,,,"0.48",64,64,69,30
Package,"er",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"er.extensions",2,2,2,1,12,0,8,3,,,,,2,18,4,,1,,12,1,30,,0,0,3,27,,467,38,290,108,161,140,,,,144,211,102,143,,,,,,7,7,8,1,,,4,,,,"0.48",64,64,69,30
Public Class,"er.extensions.ERXWOContext",2,2,2,1,12,0,8,3,2,24,24,0,,18,4,,,,11,1,29,29,0,0,3,26,,439,35,271,89,161,134,,,,125,192,83,143,,,,,,7,7,8,1,,2,4,,93,75,"0.49",62,62,67,29
Public Constructor,"er.extensions.ERXWOContext.ERXWOContext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Class,"er.extensions.ERXWOContext.Observer",2,2,2,1,9,0,9,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,0,1,,11,0,11,4,6,0,,,,5,8,4,6,,,,,,2,2,2,1,,1,1,,0,0,"0.00",2,2,2,1
Public Method,"er.extensions.ERXWOContext.Observer.applicationDidHandleRequest",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,3,6,0,5,2,0,5,7,3,6,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Protected Static Method,"er.extensions.ERXWOContext._contextDictionary",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,2,2,0,2,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Static Method,"er.extensions.ERXWOContext._directActionURL",,,,,,,,,,,,,,,,,,,,,,,,,,,9,26,0,17,4,10,9,6,3,0,7,10,4,8,3,3,3,1,2,,,,,0,,2,0,,,"0.53",3,3,3,1
Public Method,"er.extensions.ERXWOContext._generateCompleteURLs",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"er.extensions.ERXWOContext._generateRelativeURLs",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,2,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"er.extensions.ERXWOContext._generatingCompleteURLs",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
