Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"WebSocket.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,4,0,0,0,,13,5,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
File,"WebSocketClient.java",1,1,1,1,10,0,9,0,,,,,6,1,3,22,,22,21,12,22,,2,7,0,13,,286,36,236,100,120,14,,,,146,182,99,99,,,,,,6,6,6,1,,,2,,,,"0.06",35,35,35,22
File,"WebSocketConnectionHandler.java",1,1,1,1,10,0,9,0,,,,,3,0,0,6,,6,6,5,6,,0,0,1,5,,72,8,63,32,26,1,,,,30,39,25,16,,,,,,2,2,2,1,,,1,,,,"0.02",8,8,8,6
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.webbitserver",0,0,0,0,0,0,0,0,,,,,1,0,0,,1,,4,0,4,,4,0,0,0,,13,5,8,7,0,0,,,,6,7,7,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Public Interface,"org.webbitserver.WebSocket",0,0,0,0,0,0,0,0,0,2,2,1,,0,0,,,,4,0,4,4,4,0,0,0,,9,3,6,5,0,0,,,,4,5,5,0,,,,,,0,0,0,0,,0,0,,0,0,"0.00",0,0,0,0
Abstract Method,"org.webbitserver.WebSocket.close",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Abstract Method,"org.webbitserver.WebSocket.reconnectEvery",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Abstract Method,"org.webbitserver.WebSocket.setupSsl",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Abstract Method,"org.webbitserver.WebSocket.start",,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
