Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"PermissionEntity.java",1,1,1,1,9,0,5,3,,,,,8,0,1,87,,87,89,8,89,,0,0,14,75,,908,137,490,141,254,287,,,,204,348,150,226,,,,,,5,5,9,5,,,2,,,,"0.59",139,139,154,102
File,"PermissionGroup.java",1,1,1,1,6,0,4,1,,,,,1,0,0,50,,50,50,3,50,,0,2,2,46,,418,70,240,78,99,108,,,,86,159,64,96,,,,,,7,7,9,6,,,2,,,,"0.45",67,67,70,57
File,"PermissionUser.java",1,1,2,1,10,1,6,2,,,,,1,0,1,60,,60,60,7,60,,0,0,6,54,,712,132,431,133,220,164,,,,176,293,108,212,,,,,,7,7,9,5,,,2,,,,"0.38",110,110,123,83
Package,"ru",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.tehkode",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"ru.tehkode.permissions",1,1,1,1,8,0,5,2,,,,,10,0,2,,3,,199,18,199,,0,2,22,175,,2038,339,1161,352,573,559,,,,466,800,322,534,,,,,,7,7,9,6,,,2,,,,"0.48",316,316,347,242
Public Abstract Class,"ru.tehkode.permissions.PermissionEntity",1,1,1,1,9,0,5,3,1,23,23,2,,0,1,,,,81,6,81,81,0,0,9,72,,873,134,476,127,254,269,,,,190,334,136,226,,,,,,5,5,7,4,,1,2,,95,91,"0.57",124,124,130,90
Public Constructor,"ru.tehkode.permissions.PermissionEntity.PermissionEntity",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Enum Type,"ru.tehkode.permissions.PermissionEntity.Type",0,0,0,0,0,0,0,0,1,1,1,0,,0,0,,,,2,2,2,2,0,0,0,2,,3,0,3,2,0,0,,,,1,1,1,0,,,,,,0,0,0,0,,1,0,,,,"0.00",0,0,0,0
Public Implicit Method,"ru.tehkode.permissions.PermissionEntity.Type.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Implicit Method,"ru.tehkode.permissions.PermissionEntity.Type.values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Method,"ru.tehkode.permissions.PermissionEntity.addPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,3,8,2,5,8,5,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"1.00",2,2,2,1
Public Method,"ru.tehkode.permissions.PermissionEntity.addPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionEntity.addTimedPermission",,,,,,,,,,,,,,,,,,,,,,,,,,,11,36,8,21,4,14,7,7,8,1,9,14,4,11,4,4,4,1,0,,,,,0,,0,0,,,"0.33",4,4,4,1
Anonymous Class,"ru.tehkode.permissions.PermissionEntity.addTimedPermission.(Anon_5)",1,1,1,1,4,0,4,0,1,2,2,0,,0,0,,,,1,0,1,1,0,0,0,1,,6,1,5,1,4,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionEntity.addTimedPermission.(Anon_5).run",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.tehkode.permissions.PermissionEntity.callEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.tehkode.permissions.PermissionEntity.callEvent",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionEntity.equals",,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,2,14,3,8,0,3,4,1,5,9,2,7,4,4,4,4,3,,,,,3,,1,3,,,"0.00",4,4,4,4
Public Method,"ru.tehkode.permissions.PermissionEntity.explainExpression",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,6,1,3,1,3,2,0,2,4,1,3,2,2,3,1,1,,,,,0,,1,0,,,"0.17",2,2,3,1
Public Method,"ru.tehkode.permissions.PermissionEntity.getAllOptions",,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,0,3,1,1,6,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"ru.tehkode.permissions.PermissionEntity.getAllParents",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,8,2,5,0,5,2,0,4,7,3,5,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"ru.tehkode.permissions.PermissionEntity.getAllPermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Protected Abstract Method,"ru.tehkode.permissions.PermissionEntity.getData",,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,,,0,,0,0,,,"0.00",0,0,0,0
Public Method,"ru.tehkode.permissions.PermissionEntity.getIdentifier",,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Protected Method,"ru.tehkode.permissions.PermissionEntity.getInheritedChildPermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"ru.tehkode.permissions.PermissionEntity.getInheritedChildPermissions",,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,7,1,4,0,5,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
