Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractJdbc1DatabaseMetaData.java",1,1,1,1,8,0,8,0,,,,,1,0,7,137,,137,137,1,137,,0,1,0,136,,2810,213,1125,242,620,1555,,,,484,675,237,482,,,,,,24,24,26,1,,,11,,,,"1.38",207,204,214,137
File,"AbstractJdbc2DatabaseMetaData.java",1,1,2,1,9,0,8,1,,,,,1,0,2,153,,153,153,0,153,,0,1,0,152,,3194,278,1314,279,770,1676,,,,604,891,269,685,,,,,,20,20,22,3,,,4,,,,"1.28",302,299,309,155
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.postgresql",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.postgresql.jdbc1",1,1,1,1,8,0,8,0,,,,,1,0,7,,1,,137,1,137,,0,1,0,136,,2810,213,1125,242,620,1555,,,,484,675,237,482,,,,,,24,24,26,1,,,11,,,,"1.38",207,204,214,137
Public Abstract Class,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData",1,1,1,1,8,0,8,0,1,10,10,1,,0,7,,,,137,1,137,137,0,1,0,136,,2802,210,1120,237,620,1555,,,,479,670,232,482,,,,,,24,24,26,1,,1,11,,75,72,"1.39",207,204,214,137
Public Constructor,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.AbstractJdbc1DatabaseMetaData",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.allProceduresAreCallable",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.allTablesAreSelectable",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.dataDefinitionCausesTransactionCommit",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.dataDefinitionIgnoredInTransactions",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.doesMaxRowSizeIncludeBlobs",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getBestRowIdentifier",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,2,15,4,11,3,2,1,0,12,13,4,10,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogSeparator",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogTerm",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCatalogs",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getColumnPrivileges",,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,6,26,5,21,3,6,8,1,17,21,5,18,4,4,4,1,1,,,,,0,,1,0,,,"0.12",4,4,4,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getColumns",,,,,,,,,,,,,,,,,,,,,,,,,,,11,147,15,121,10,102,29,15,40,2,57,64,10,61,12,12,16,1,2,,,,,0,,2,0,,,"0.24",12,12,16,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getCrossReference",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDatabaseProductName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDatabaseProductVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDefaultTransactionIsolation",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverMajorVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverMinorVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getDriverVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getExportedKeys",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getExtraNameCharacters",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getIdentifierQuoteString",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getImportedExportedKeys",,,,,,,,,,,,,,,,,,,,,,,,,,,17,134,11,121,23,95,13,17,1361,3,66,86,24,75,24,24,26,1,4,,,,,0,,11,0,,,"0.11",24,24,26,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getImportedKeys",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getIndexInfo",,,,,,,,,,,,,,,,,,,,,,,,,,,12,85,3,78,10,64,8,16,7,1,42,47,11,41,8,8,8,1,1,,,,,0,,3,0,,,"0.10",8,8,8,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxBinaryLiteralLength",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxCatalogNameLength",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxCharLiteralLength",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxColumnNameLength",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxColumnsInGroupBy",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxColumnsInIndex",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxColumnsInOrderBy",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
Public Method,"org.postgresql.jdbc1.AbstractJdbc1DatabaseMetaData.getMaxColumnsInSelect",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.25",1,1,1,1
