Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"ConvertFromJUnitCompositeChange.java",1,1,1,1,11,0,9,0,,,,,2,0,0,7,,7,7,3,7,,0,1,0,6,,96,15,72,38,26,9,,,,40,57,37,25,,,,,,7,7,7,1,,,4,,,,"0.12",13,13,13,7
File,"SourceFolderChange.java",2,2,2,1,17,1,14,2,,,,,1,0,0,2,,2,2,0,2,,0,1,0,1,,63,7,47,28,22,9,,,,35,41,29,19,,,,,,3,3,3,1,,,1,,,,"0.19",5,5,5,2
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng.eclipse",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.testng.eclipse.refactoring",2,2,2,1,12,0,10,0,,,,,3,0,0,,2,,9,3,9,,0,2,0,7,,159,22,119,66,48,18,,,,75,98,66,44,,,,,,7,7,7,1,,,4,,,,"0.15",18,18,18,9
Public Class,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange",1,1,1,1,8,0,8,0,1,10,10,0,,0,0,,,,6,3,6,6,0,1,0,5,,74,12,53,19,26,9,,,,21,38,18,25,,,,,,1,1,1,1,,2,0,,88,88,"0.17",6,6,6,6
Public Constructor,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.ConvertFromJUnitCompositeChange",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,1,5,0,5,1,0,5,6,1,5,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.computeChanges",,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,3,25,5,17,1,1,1,0,10,21,9,16,1,1,1,1,0,,,,,0,,0,0,,,"0.04",1,1,1,1
Anonymous Class,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.computeChanges.(Anon_1)",7,7,7,1,25,3,21,1,1,11,11,0,,0,0,,,,1,0,1,1,0,0,0,1,,26,3,22,4,16,1,,,,9,19,8,15,,,,,,7,7,7,1,,2,4,,0,0,"0.05",7,7,7,1
Public Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.computeChanges.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,3,21,4,15,1,16,11,1,9,19,8,15,7,7,7,1,1,,,,,0,,4,0,,,"0.05",7,7,7,1
Public Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.getModifiedElement",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.getName",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.initializeValidationData",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,2,0,0,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.testng.eclipse.refactoring.ConvertFromJUnitCompositeChange.isValid",,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,3,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Class,"org.testng.eclipse.refactoring.SourceFolderChange",2,2,2,1,17,1,14,2,1,16,16,0,,0,0,,,,2,0,2,2,0,1,0,1,,42,4,29,11,22,9,,,,18,24,12,19,,,,,,3,3,3,1,,2,1,,0,0,"0.31",5,5,5,2
Public Constructor,"org.testng.eclipse.refactoring.SourceFolderChange.SourceFolderChange",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,7,1,4,2,7,2,0,3,6,2,4,2,2,2,1,0,,,,,0,,1,0,,,"0.29",2,2,2,1
Private Method,"org.testng.eclipse.refactoring.SourceFolderChange.createChange",,,,,,,,,,,,,,,,,,,,,,,,,,,5,25,2,21,9,18,2,13,3,0,15,17,9,15,3,3,3,1,3,,,,,0,,1,0,,,"0.10",3,3,3,1
