Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"SparkMain.java",3,3,4,1,23,1,17,4,,,,,2,7,25,23,,23,16,4,23,,1,13,2,7,,663,54,473,151,322,136,,,,273,364,149,268,,,,,,30,30,43,3,,,4,,,,"0.29",82,82,105,25
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.oozie",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.oozie.action",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.apache.oozie.action.hadoop",3,3,4,1,23,1,17,4,,,,,2,7,25,,1,,16,4,23,,1,13,2,7,,663,54,473,151,322,136,,,,273,364,149,268,,,,,,30,30,43,3,,,4,,,,"0.29",82,82,105,25
Public Class,"org.apache.oozie.action.hadoop.SparkMain",4,4,5,1,27,1,20,5,1,36,36,0,,7,25,,,,10,0,17,17,1,12,2,2,,630,49,445,123,322,136,,,,245,336,121,268,,,,,,30,30,43,3,,2,4,,0,0,"0.31",68,68,87,19
Static Class,"org.apache.oozie.action.hadoop.SparkMain.JarFilter",2,2,3,1,13,0,9,3,1,10,10,0,,0,0,,,,6,4,6,6,0,1,0,5,,94,7,61,18,37,26,,,,28,42,18,30,,,,,,8,8,9,1,,1,3,,58,58,"0.43",14,14,18,6
Public Constructor,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.JarFilter",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,0,8,2,5,6,7,2,0,4,6,2,5,2,2,2,1,0,,,,,0,,1,0,,,"0.75",2,2,2,1
Public Method,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.filter",,,,,,,,,,,,,,,,,,,,,,,,,,,8,42,0,33,7,24,9,18,19,1,16,23,7,21,8,8,9,1,2,,,,,0,,3,0,,,"0.27",8,8,9,1
Public Method,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.getApplicationJar",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.getSparkVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.getSparkYarnJar",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"org.apache.oozie.action.hadoop.SparkMain.JarFilter.isApplicationJar",,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,0,5,1,3,8,5,1,0,1,2,1,1,1,1,4,1,0,,,,,0,,0,0,,,"1.60",1,1,4,1
Protected Method,"org.apache.oozie.action.hadoop.SparkMain.appendOoziePropertiesToSparkConf",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,2,4,0,6,2,0,2,5,2,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.apache.oozie.action.hadoop.SparkMain.appendWithPathSeparator",,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,0,6,1,3,0,2,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,"0.00",2,2,2,1
Private Method,"org.apache.oozie.action.hadoop.SparkMain.createPySparkLibFolder",,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,1,13,4,9,7,7,4,1,7,11,5,9,3,3,3,1,0,,,,,0,,1,0,,,"0.54",3,3,3,1
Private Method,"org.apache.oozie.action.hadoop.SparkMain.fixFsDefaultUris",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,0,12,4,8,8,4,3,0,8,11,5,8,3,3,3,1,1,,,,,0,,1,0,,,"0.67",3,3,3,1
Private Static Method,"org.apache.oozie.action.hadoop.SparkMain.getFixedUri",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,4,2,2,0,3,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"org.apache.oozie.action.hadoop.SparkMain.getFixedUri",,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,0,10,1,7,11,10,2,0,2,4,1,3,2,2,7,1,1,,,,,0,,1,0,,,"1.10",2,2,7,1
Private Static Method,"org.apache.oozie.action.hadoop.SparkMain.getJarVersion",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,3,2,0,4,1,0,2,3,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Static Method,"org.apache.oozie.action.hadoop.SparkMain.getMatchingFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,9,2,5,8,4,3,0,3,7,3,5,3,3,3,3,3,,,,,3,,2,3,,,"0.89",3,3,3,3
