Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"TemplateProcessor.java",8,8,8,4,66,4,60,3,,,,,2,0,1,5,,5,5,5,5,,0,3,0,2,,407,33,347,58,249,36,,,,245,294,62,241,,,,,,23,23,23,10,,,4,,,,"0.10",41,41,41,23
Package,"lombok",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"lombok.ast",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"lombok.ast.template",8,8,8,4,66,4,60,3,,,,,2,0,1,,1,,5,5,5,,0,3,0,2,,407,33,347,58,249,36,,,,245,294,62,241,,,,,,23,23,23,10,,,4,,,,"0.10",41,41,41,23
Public Class,"lombok.ast.template.TemplateProcessor",9,9,9,5,81,5,74,3,1,25,25,0,,0,1,,,,4,0,4,4,0,3,0,1,,353,29,318,31,249,15,,,,218,267,35,241,,,,,,23,23,23,10,,2,4,,0,0,"0.05",39,39,39,22
Private Static Class,"lombok.ast.template.TemplateProcessor.FieldData",2,2,2,1,4,0,4,0,1,2,2,0,,0,0,,,,1,5,1,1,0,0,0,1,,13,1,12,9,2,0,,,,7,9,8,2,,,,,,2,2,2,1,,1,0,,80,80,"0.00",2,2,2,1
Public Method,"lombok.ast.template.TemplateProcessor.FieldData.titleCasedName",,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,0,4,2,2,0,6,1,0,2,3,2,2,2,2,2,1,0,,,,,0,,0,0,,,"0.00",2,2,2,1
Private Method,"lombok.ast.template.TemplateProcessor.generateListAccessor",,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,11,1,9,0,3,1,0,9,10,1,9,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Private Method,"lombok.ast.template.TemplateProcessor.generateSourceFile",,,,,,,,,,,,,,,,,,,,,,,,,,,6,253,14,233,5,195,15,16,47320,5,174,200,9,194,23,23,23,10,9,,,,,9,,3,6,,,"0.06",23,23,23,10
Private Method,"lombok.ast.template.TemplateProcessor.isAstNodeChild",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"lombok.ast.template.TemplateProcessor.process",,,,,,,,,,,,,,,,,,,,,,,,,,,7,60,9,51,10,38,0,29,367,3,26,44,14,34,14,14,14,10,10,,,,,10,,4,9,,,"0.00",14,14,14,10
