Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AccessNode.java",5,5,7,1,23,0,20,2,,,,,2,0,0,9,,9,9,3,9,,0,1,0,8,,256,13,195,69,107,48,,,,89,137,69,89,,,,,,21,20,33,4,,,7,,,,"0.25",48,47,65,12
File,"JacksonComparisonSerializationTest.java",2,2,2,1,13,0,13,1,,,,,1,0,0,3,,3,3,0,3,,0,2,0,1,,82,7,50,20,28,26,,,,35,44,21,28,,,,,,4,4,4,1,,,2,,,,"0.52",7,7,7,3
File,"JacksonComplexSerializationTest.java",1,1,1,1,11,0,11,0,,,,,1,0,0,14,,14,14,0,14,,0,1,0,13,,229,19,185,89,112,25,,,,141,158,77,113,,,,,,2,2,2,1,,,1,,,,"0.14",16,16,16,14
File,"JacksonSerializationData.java",1,1,1,1,2,0,2,0,,,,,11,0,0,50,,53,53,17,53,,0,1,0,52,,230,15,190,90,47,25,,,,73,134,88,47,,,,,,2,2,2,1,,,0,,,,"0.13",51,51,51,50
File,"ProtostuffComparisonSerializationTest.java",2,2,2,1,13,0,13,1,,,,,1,0,0,3,,3,3,0,3,,0,2,0,1,,82,7,50,20,28,26,,,,35,44,21,28,,,,,,4,4,4,1,,,2,,,,"0.52",7,7,7,3
File,"ProtostuffComplexSerializationTest.java",1,1,1,1,11,0,11,0,,,,,1,0,0,14,,14,14,0,14,,0,1,0,13,,229,19,185,89,112,25,,,,141,158,77,113,,,,,,2,2,2,1,,,1,,,,"0.14",16,16,16,14
File,"ProtostuffSerializationData.java",1,1,1,1,2,0,2,0,,,,,11,0,0,50,,53,53,17,53,,0,1,0,52,,230,15,190,90,47,25,,,,73,134,88,47,,,,,,2,2,2,1,,,0,,,,"0.13",51,51,51,50
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.switchyard",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.switchyard.serial",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
