Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Repackager.java",1,1,1,1,12,0,12,0,,,,,3,4,1,12,,12,8,0,12,,0,8,2,2,,196,21,167,59,74,12,,,,88,111,60,65,,,,,,3,3,3,1,,,2,,,,"0.07",22,22,22,12
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sourcepit",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sourcepit.osgify",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sourcepit.osgify.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.sourcepit.osgify.core.packaging",1,1,1,1,12,0,12,0,,,,,3,4,1,,1,,8,0,12,,0,8,2,2,,196,21,167,59,74,12,,,,88,111,60,65,,,,,,3,3,3,1,,,2,,,,"0.07",22,22,22,12
Public Class,"org.sourcepit.osgify.core.packaging.Repackager",2,2,2,1,13,0,13,0,1,24,24,0,,4,1,,,,6,0,10,10,0,8,0,2,,162,15,139,31,74,12,,,,60,83,32,65,,,,,,3,3,3,1,,1,2,,0,0,"0.09",20,20,20,10
Public Method,"org.sourcepit.osgify.core.packaging.Repackager.copyJarAndInjectManifest",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,12,2,5,0,4,1,0,2,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Anonymous Class,"org.sourcepit.osgify.core.packaging.Repackager.copyJarAndInjectManifest.(Anon_1)",1,1,1,1,5,0,5,0,1,4,4,0,,0,0,,,,1,0,1,1,0,0,1,0,,6,0,6,0,3,0,,,,1,2,1,1,,,,,,1,1,1,1,,2,0,,0,0,"0.00",1,1,1,1
Protected Method,"org.sourcepit.osgify.core.packaging.Repackager.copyJarAndInjectManifest.(Anon_1).run",,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,0,5,0,3,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
