Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"FluentWaitMatcher.java",1,1,1,1,14,0,10,3,,,,,12,1,0,35,,35,34,4,35,,2,0,0,33,,430,39,267,76,144,124,,,,116,188,83,123,,,,,,8,8,8,8,,,4,,,,"0.46",64,64,65,54
Package,"org",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.fluentlenium",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.fluentlenium.core",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Package,"org.fluentlenium.core.wait",1,1,1,1,14,0,10,3,,,,,12,1,0,,1,,34,4,35,,2,0,0,33,,430,39,267,76,144,124,,,,116,188,83,123,,,,,,8,8,8,8,,,4,,,,"0.46",64,64,65,54
Public Class,"org.fluentlenium.core.wait.FluentWaitMatcher",1,1,1,1,15,0,10,4,1,13,13,0,,1,0,,,,23,4,24,24,2,0,0,22,,412,35,253,62,144,124,,,,102,174,69,123,,,,,,3,3,4,1,,1,2,,53,53,"0.49",26,26,27,24
Public Constructor,"org.fluentlenium.core.wait.FluentWaitMatcher.FluentWaitMatcher",,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,3,0,4,1,0,3,4,1,3,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Method,"org.fluentlenium.core.wait.FluentWaitMatcher.addFilter",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areDisplayed",,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,0,30,5,19,5,4,1,0,10,21,7,17,1,1,1,1,0,,,,,0,,0,0,,,"0.17",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.areDisplayed.(Anon_9)",8,8,8,8,24,0,24,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,0,1,,25,0,25,3,17,0,,,,7,17,5,14,,,,,,8,8,8,8,,2,4,,0,0,"0.00",8,8,8,8
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areDisplayed.(Anon_9).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,0,24,2,16,0,5,8,1,7,17,5,14,8,8,8,8,15,,,,,15,,4,15,,,"0.00",8,8,8,8
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areEnabled",,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,0,30,5,19,5,4,1,0,10,21,7,17,1,1,1,1,0,,,,,0,,0,0,,,"0.17",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.areEnabled.(Anon_11)",8,8,8,8,24,0,24,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,0,1,,25,0,25,3,17,0,,,,7,17,5,14,,,,,,8,8,8,8,,2,4,,0,0,"0.00",8,8,8,8
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areEnabled.(Anon_11).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,0,24,2,16,0,5,8,1,7,17,5,14,8,8,8,8,15,,,,,15,,4,15,,,"0.00",8,8,8,8
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areNotDisplayed",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,0,15,4,9,5,4,1,0,6,11,5,8,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.areNotDisplayed.(Anon_10)",3,3,3,3,9,0,9,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,2,7,0,,,,3,7,3,5,,,,,,3,3,3,3,,2,2,,0,0,"0.00",3,3,3,3
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.areNotDisplayed.(Anon_10).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,1,6,0,5,3,0,3,7,3,5,3,3,3,3,3,,,,,3,,2,3,,,"0.00",3,3,3,3
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.containsText",,,,,,,,,,,,,,,,,,,,,,,,,,,4,27,0,22,4,13,5,4,1,0,8,15,5,11,1,1,1,1,0,,,,,0,,0,0,,,"0.23",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.containsText.(Anon_5)",5,5,5,4,16,0,16,0,1,5,5,0,,0,0,,,,1,0,1,1,0,0,0,1,,17,0,17,2,11,0,,,,5,11,3,8,,,,,,5,5,5,4,,2,3,,0,0,"0.00",5,5,5,4
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.containsText.(Anon_5).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,16,1,10,0,6,8,1,5,11,3,8,5,5,5,4,5,,,,,5,,3,4,,,"0.00",5,5,5,4
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasAttribute",,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,1,13,3,8,6,4,1,0,5,8,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.46",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.hasAttribute.(Anon_1)",2,2,2,1,7,0,7,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasAttribute.(Anon_1).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,0,5,0,6,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasId",,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,0,13,3,8,5,4,1,0,5,8,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.38",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.hasId.(Anon_2)",2,2,2,1,7,0,7,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasId.(Anon_2).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,0,5,0,6,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasName",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,0,14,4,8,5,4,1,0,6,9,4,6,1,1,1,1,0,,,,,0,,0,0,,,"0.36",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.hasName.(Anon_3)",2,2,2,1,8,0,8,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,9,0,9,2,6,0,,,,3,5,2,3,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasName.(Anon_3).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,5,0,6,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasSize",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasSize",,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,1,15,4,9,5,4,1,0,7,10,4,7,1,1,1,1,0,,,,,0,,0,0,,,"0.33",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.hasSize.(Anon_4)",2,2,2,1,9,0,9,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasSize.(Anon_4).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,9,1,6,0,4,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasText",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,1,13,3,8,5,4,1,0,5,8,3,6,1,1,1,1,0,,,,,0,,0,0,,,"0.38",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.hasText.(Anon_6)",2,2,2,1,7,0,7,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,8,0,8,1,6,0,,,,2,4,1,3,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.hasText.(Anon_6).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,0,5,0,6,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.isNotPresent",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,2,15,4,9,3,4,1,0,7,10,4,7,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.isNotPresent.(Anon_8)",2,2,2,1,9,0,9,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.isNotPresent.(Anon_8).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,1,6,0,4,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.isPresent",,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,2,15,4,9,3,4,1,0,7,10,4,7,1,1,1,1,0,,,,,0,,0,0,,,"0.20",1,1,1,1
Anonymous Class,"org.fluentlenium.core.wait.FluentWaitMatcher.isPresent.(Anon_7)",2,2,2,1,9,0,9,0,1,3,3,0,,0,0,,,,1,0,1,1,0,0,0,1,,10,0,10,2,7,0,,,,4,6,2,4,,,,,,2,2,2,1,,2,1,,0,0,"0.00",2,2,2,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.isPresent.(Anon_7).apply",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,1,6,0,4,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,"0.00",2,2,2,1
Static Method,"org.fluentlenium.core.wait.FluentWaitMatcher.until",,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,1,10,2,6,0,5,3,0,4,8,3,6,3,3,4,1,0,,,,,0,,2,0,,,"0.00",3,3,4,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.with",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withClass",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withId",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withId",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withName",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withName",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withText",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.fluentlenium.core.wait.FluentWaitMatcher.withText",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,4,1,2,6,3,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,"1.50",1,1,1,1
